Accession	AJ_F1_1	NOD_M1_1	C_F1_1	P_M1_1	NZO_F1_1	WSB_M1_1	B_F1_1	129_M1_1	B_M2_1	129_F2_1	Pool_1	AJ_F2_2	NOD_M2_2	C_F2_2	P_M2_2	NZO_F2_2	WSB_M2_2	B_F2_2	129_M2_2	NZO_M1_2	WSB_F1_2	Pool_2	AJ_M1_3	NOD_F1_3	C_M1_3	P_F1_3	NZO_M1_3	WSB_F1_3	B_M1_3	129_F1_3	C_F2_3	P_M2_3	Pool_3	AJ_M2_4	NOD_F2_4	C_M2_4	P_F2_4	NZO_M2_4	WSB_F2_4	B_M2_4	129_F2_4	AJ_F1_4	NOD_M1_4	Pool_4
sp|Q9JM99|PRG4_MOUSE	50252	47685	61750	61322	91128	192981	101384	74667	86511	54192	79872	26741	15639	47081	44360	55197	356941	44554	35815	37502	44608	79872	59219	28736	203734	77504	42049	46499	45894	34251	151477	123062	79872	96491	100562	85737	83397	79651	83802	65737	57978	78212	70405	79872
tr|Q3TAQ9|Q3TAQ9_MOUSE	171854	167257	177514	201918	173712	222564	148097	180485	140935	160277	176623	191841	153006	164801	175285	197720	222576	143492	157935	182497	178123	176623	163619	195693	158517	204176	165639	207696	155879	164012	172860	173138	176623	174560	215666	177486	204153	173933	170114	146110	153629	185080	166193	176623
sp|P62983|RS27A_MOUSE	46489	147361	398990	192482	52716	291270	35868	215728	108214	178852	171411	78723	73160	120759	176481	71857	297768	170721	269591	62811	221462	171411	76716	149830	214641	217108	57536	247498	117728	310816	111495	184081	171411	63047	134001	359952	166726	89359	312212	138662	220515	49954	162447	171411
sp|Q9DBP0|NPT2B_MOUSE	71911	31740	607606	44471	81656	535579	56179	17758	55133	14702	159250	35737	32028	559078	50976	43134	318402	52204	25182	119923	415135	159250	29124	35672	713944	88505	100041	209904	54307	42532	347023	58380	159250	66670	78925	558553	83547	110731	314225	111379	33398	79048	53713	159250
sp|O35601|FYB1_MOUSE	138093	70982	53345	142634	199103	108405	174169	84003	127771	96289	119674	160524	42928	116085	167177	206387	132558	103512	61947	113050	137456	119674	87943	80951	93708	141210	91320	107605	151740	186025	102432	144815	119674	122587	101565	95717	196500	77712	124358	110359	99375	142610	106447	119674
sp|O55106|STRN_MOUSE	124489	143839	212577	211303	124315	150458	126191	148944	139113	148606	156469	119759	136717	138920	175439	122119	177279	194663	192134	117588	135879	156469	143025	132669	189460	157749	163265	133426	166689	144295	183151	161046	156469	157669	115066	193101	157230	170312	148309	162264	131855	154043	145616	156469
sp|Q9D0J4|ARL2_MOUSE	164502	209957	246124	165702	135909	157812	161183	180769	186537	205008	181230	190989	189767	253862	194413	150935	156225	182889	180078	173474	160049	181230	155317	168767	267129	162257	163926	150027	145904	188433	237200	186663	181230	177753	172055	272500	180899	136983	157742	167417	178786	156511	188535	181230
sp|O54946|DNJB6_MOUSE	119837	117106	117472	120598	106699	114983	106250	98470	130910	120391	114927	116546	113532	140158	134930	96965	116136	97878	111935	112935	115599	114927	84776	111211	142289	119343	104399	108408	107191	132230	133596	112071	114927	94690	74579	140346	119297	102023	127003	110843	132195	110055	117570	114927
sp|P70257|NFIX_MOUSE	124862	125405	146211	107377	102316	129355	122420	133622	111736	125272	122897	135780	117908	127790	143551	110847	122358	109560	136008	107656	109904	122897	106092	119399	136999	111800	100733	116682	106473	172695	122851	131834	122897	137616	102019	126710	103214	107240	126425	117233	130212	138726	130406	122897
sp|Q91WN1|DNJC9_MOUSE	213055	155494	139204	148020	183115	174436	181990	132426	241486	160123	170008	222456	137270	152201	150830	195445	177546	195438	130934	195917	173439	170008	162425	147190	134394	150403	148915	191884	192874	241020	142488	180112	170008	177558	122372	115439	169934	149706	176920	161597	168266	246547	184749	170008
sp|Q80YT7|MYOME_MOUSE	148280	137757	178692	141095	158950	146724	140556	142600	127690	130672	147005	142220	158814	190430	151373	144749	168224	111003	132967	129991	150796	147005	120460	138581	193904	153407	121478	138573	137761	159622	144542	163956	147005	147795	126325	166427	159708	149013	134051	128401	126324	153860	151346	147005
