Accession	AJ_F1_1	NOD_M1_1	C_F1_1	P_M1_1	NZO_F1_1	WSB_M1_1	B_F1_1	129_M1_1	B_M2_1	129_F2_1	Pool_1	AJ_F2_2	NOD_M2_2	C_F2_2	P_M2_2	NZO_F2_2	WSB_M2_2	B_F2_2	129_M2_2	NZO_M1_2	WSB_F1_2	Pool_2	AJ_M1_3	NOD_F1_3	C_M1_3	P_F1_3	NZO_M1_3	WSB_F1_3	B_M1_3	129_F1_3	C_F2_3	P_M2_3	Pool_3	AJ_M2_4	NOD_F2_4	C_M2_4	P_F2_4	NZO_M2_4	WSB_F2_4	B_M2_4	129_F2_4	AJ_F1_4	NOD_M1_4	Pool_4
sp|O08756|HCD2_MOUSE	4733354	6099245	6057984	5442295	4679890	6750234	4561629	5206589	7713272	5507833	5594032	4548803	7762058	5457355	7185855	4456363	5239652	6543482	4580553	5795942	5323119	5594032	4257400	6654026	4513369	7529675	6337087	5547407	4617031	4634406	5110266	6729576	5594032	4437545	8776718	5031974	6153236	5084092	5730340	7410755	5172456	4588888	5554637	5594032
sp|P46471|PRS7_MOUSE	5973059	5892300	5971754	5179215	5380331	5239483	5705285	4971076	6380136	5268501	5580469	6140339	5485908	5925049	5852110	5558169	5394184	5870075	5023405	5865550	5345291	5580469	5630571	5297688	6359306	5680073	5672717	5082225	5550156	5032410	5868522	5725233	5580469	5846354	4148481	6116583	5850360	5339898	5448428	5870324	5037384	5813853	5496625	5580469
sp|Q9CZ30|OLA1_MOUSE	4954980	6136718	4849726	5729507	4857209	5786862	4534446	5189944	5975882	4080500	5224330	4880942	3471593	4711437	6947846	4807982	5499065	5469886	5618390	5806818	4478945	5224330	5392936	4732747	6385205	4872137	5782512	4635930	4309888	4547861	4822570	6802425	5224330	5387908	3077302	6100524	5400496	5522031	5121295	5777012	4178072	4325993	6175874	5224330
sp|Q99L47|F10A1_MOUSE	5666444	5275333	5141763	3280084	4898695	5063347	6113434	5054225	5266367	5742044	5060987	6062343	4015451	5414475	4852357	5483215	5304676	4697270	5326481	4286457	4904464	5060987	5198094	5436704	5076502	4541814	3973961	4874283	5856992	6099191	4707308	4776311	5060987	5091145	976706	5421789	4865908	4740486	5168467	5232978	6024166	5704859	5563695	5060987
sp|P46735|MYO1B_MOUSE	4236106	5759055	5458664	5703100	3689535	5993078	3811322	4984265	3928995	4583730	4875601	4239215	5038400	5189590	5860198	3905499	6150494	3883321	5011374	4219711	4684557	4875601	4162872	5193152	5889757	4888761	3957869	4833577	3944325	5061086	4926652	5928349	4875601	4477231	7253665	5919016	4658565	4249958	4538288	4025549	4453090	4104732	5694050	4875601
sp|Q91WG8|GLCNE_MOUSE	5386188	5891144	4140135	5190688	5232738	5020258	4339281	6074436	4651886	5823814	5166859	5594160	4618121	3564842	5305589	5175248	6457764	4102785	5885014	4444788	5318735	5166859	5470734	5564745	4869437	4812638	4672782	5372637	4898463	5793265	4454106	5521268	5166859	5335219	5391344	4422869	5133392	4438489	5472114	4594185	5807391	5413631	5853507	5166859
sp|P47199|QOR_MOUSE	5380763	6263339	4336148	3739851	5783594	4093566	6176635	5456383	6004677	5972640	5216709	5359549	4486469	4579374	3734248	5892092	4293408	6652061	5642550	6058614	5242534	5216709	4311974	6080455	4730724	3631713	4414719	6499562	6441087	7010010	5121255	4407873	5216709	4877158	3856984	4788889	3749273	5590483	5521431	6183127	5910295	5243886	6335613	5216709
sp|Q9DCS2|MTL26_MOUSE	4029669	5947044	4391636	2754208	3263022	3521907	4024683	5491352	5271907	3755354	4182027	4202626	3295942	4301369	2611075	3479657	3595740	5733592	5851531	4951320	2477217	4182027	5550453	4626655	5841776	2012304	5510553	2751616	4540998	4264025	4477177	2686275	4182027	5343181	2036366	4816333	2435226	5087499	2579976	4870898	3422911	4460260	5579570	4182027
sp|P62862|RS30_MOUSE	5582350	5117992	5613833	6029135	5310985	5200417	4988833	4449543	4197148	3634639	5134208	5864718	3919101	5422585	5620539	5544572	6050875	4880936	4500482	5496208	4355320	5134208	2943386	3734998	8835990	5011248	3398563	3194315	4935987	7257091	5996375	6389203	5134208	5605208	3994856	5997915	5815499	5238054	4538218	5543796	4460667	4907399	4517682	5134208
sp|P97461|RS5_MOUSE	5054417	4912573	5126153	5311658	5038931	5553203	4514466	4903247	4530030	4073504	4956326	5062591	3443549	4584216	5431738	5021488	6316009	4461964	5127821	4924019	4458522	4956326	5393104	4368793	5946668	4845596	4917290	4751928	4703119	4099271	4911954	5605453	4956326	4919122	2965407	5638814	4783087	5081765	5597444	5060277	4631553	4886686	5019308	4956326
sp|Q8BG32|PSD11_MOUSE	4867186	5426415	5130183	5664910	5276794	4974262	5250775	5306844	5690964	5099663	5269664	4853606	4705588	5032241	5261360	5249175	5438136	5732827	5640990	5383777	4864271	5269664	5226732	4953273	5887267	5364800	5377833	4794056	5219474	5264156	5264647	5354167	5269664	4885961	4426208	5639808	5348563	4971259	5441287	6570563	5011555	4713530	5575251	5269664
sp|P56391|CX6B1_MOUSE	5140901	5027730	5838139	4590855	4494299	5979885	4092098	5114502	3796411	4545361	4912400	5170410	7245868	5165822	4200738	3757556	5791544	4154924	4906836	3763303	4802425	4912400	5606507	6180899	5013568	5088216	4303194	4976321	4392417	4550217	4854962	3926283	4912400	4614293	8301237	4716198	4846212	4236904	5451240	4897584	4917623	4143572	4809249	4912400
sp|O55060|TPMT_MOUSE	7722762	9992376	2696012	3337621	6208562	2996567	1982782	8068705	3526946	5550999	5243743	6763598	7589017	1971391	3054219	5675481	4653716	3833168	7274830	9214720	1657941	5243743	10724649	7015825	4499684	1952253	10498655	1975762	2357781	6330525	2614154	3517327	5243743	8469008	6341351	3614832	1573773	7852555	1535714	3681793	4915981	6393779	8069914	5243743
sp|P60335|PCBP1_MOUSE_family	5103521	5068371	5859571	6011226	4741352	5932631	4859051	5743768	5224767	4802618	5377914	5426366	3589553	5127867	5726230	5112646	6170442	5502776	5917220	5188294	5085235	5377914	5656280	4502723	5489845	4820721	5170835	5341666	5510115	6003976	5238011	5929978	5377914	5812747	3995918	5574448	5457431	5737259	5118981	5445148	5133309	5463197	5314951	5377914
sp|O54749|CP2J5_MOUSE	5396815	10300535	510063	898154	6332401	4939314	5705622	7678080	6187340	6048952	5119194	5673536	2512272	293668	604120	6717302	5094647	6295254	8641150	7389947	4408586	5119194	10243909	6457417	998838	967843	10357265	6208073	6348373	7391957	630932	925232	5119194	7243903	637665	491306	760180	7695507	6691783	6755913	6348943	4708458	9747006	5119194
sp|Q91YW3|DNJC3_MOUSE	4428519	4702563	4459417	4778932	3312642	7191976	4231214	4688379	3904358	3752651	4557195	5061759	2832439	4378952	5511953	3366580	7442068	3598364	4518770	3107173	4551383	4557195	4731797	3324887	5824444	4131305	3218245	4785688	4745332	4731400	4233962	5692976	4557195	5338384	2305622	5583988	4739614	3561148	5040269	4165785	4006233	4536927	4972091	4557195
sp|Q921H8|THIKA_MOUSE	8487073	4892321	3417930	4375779	4045567	5768721	4880114	4366155	6805663	5424908	5152756	6447516	5469070	3139514	7249276	3281408	5945897	5695280	3955274	4108413	6758588	5152756	6487637	4321657	3660290	4798850	4237229	6987346	4119885	5214629	3244470	7555607	5152756	6783337	6522124	3153228	3342323	2990019	8021338	6151829	4901762	7179103	4231065	5152756
sp|P14576|SRP54_MOUSE_family	5061694	4582612	5312679	5104059	4896154	5016177	5103865	4305250	5388781	4146829	4911674	5130203	3794185	5026280	5677968	4920428	5855330	5008331	4203062	5242099	4493228	4911674	4830545	4277794	6123771	4664633	5337258	4279275	5059950	3964810	5235874	5665813	4911674	5226004	3330636	6066228	5082442	5867651	4361078	5230127	4010805	4813793	4093941	4911674
sp|P14685|PSMD3_MOUSE	4754981	4747115	5584642	4564723	4656850	4562574	4978400	4464450	4978249	4897151	4817527	4838451	4824314	5395299	5120549	4784069	4796971	4741724	4611717	4628456	4678635	4817527	4670060	4684046	5039280	5039365	4555970	4822622	4820887	4828869	4775013	4900874	4817527	4629302	4090192	5376758	5412313	4538316	4956074	4843932	4760576	4464259	4679429	4817527
sp|P23492|PNPH_MOUSE_family	6559874	4414695	1876934	6032143	6018025	3755862	5731814	5364430	5181253	6201873	5078248	6335726	3972328	1984463	6437177	5876065	5330041	4035128	5972376	5318312	4676217	5078248	4827088	4118656	5050723	5591301	4722391	4464168	5399875	6348189	4523069	5411279	5078248	5610121	4486324	2665221	6659494	5747268	4413648	5025750	5939585	5974095	4273093	5078248
sp|Q91W50|CSDE1_MOUSE	4479965	4564537	4362178	4325245	4595150	4420082	4305387	4480409	4515268	4097995	4420172	4366619	3646285	4112071	4148523	4577671	4887363	4495332	4615480	5078370	3897443	4420172	5246672	4529460	4829294	3820731	5215714	3991253	4259848	3991548	4202435	4145074	4420172	4924920	3328554	4940671	4062348	5014676	3788712	4539053	4034946	4485817	4414048	4420172
sp|Q9D0M3|CY1_MOUSE	4483598	5313314	4986276	5524571	3764560	5426659	4054979	5490132	3705538	4903083	4815058	5094432	5188004	4845630	4864215	3990725	5205166	4233896	5143335	4041792	5164414	4815058	4706092	5635676	4396727	5373542	3807374	5104413	4169805	4671136	4982488	5081843	4815058	4925137	6882982	4854215	4956488	3610346	4687892	4339329	4968758	4623928	5173199	4815058
sp|Q91VM9|IPYR2_MOUSE	3829714	3990489	5853499	4498940	4527205	4231432	3726786	3915177	3852292	4553937	4345169	3882886	4503313	6032657	5398340	4417092	3899134	3314818	3889010	4457501	4508521	4345169	3366555	3918658	4615109	5751204	4324944	4289827	3597209	3700582	5389258	4526332	4345169	3592455	4559776	4881239	6030437	4177232	4798629	3492050	4486346	3327739	3930767	4345169
sp|Q9CR62|M2OM_MOUSE	5054094	5628037	4624215	5188847	4650663	3745191	5240121	4794860	4070277	4789453	4823056	5450802	7298840	5396794	5243637	4723595	4151805	4146589	4236102	4461900	4284090	4823056	4658628	5782571	4628961	5570984	4138237	4322987	4805636	4380640	4978665	4904506	4823056	4457251	7420911	4406690	5123537	4161099	4115873	4027180	4746089	5063926	5511760	4823056
sp|Q8R1B4|EIF3C_MOUSE	4166563	4399914	4752824	3854668	3650534	4898110	3816823	3999950	4228572	3824355	4160085	4059550	3322410	4288871	4779773	3628498	5111092	3920418	4447777	3720592	3657912	4160085	3764896	3667260	5207564	3920016	3998258	3944056	3782098	4286622	4220666	4916076	4160085	4143608	3295527	5281132	3917549	3994886	3876957	4223003	3763818	4089561	4339208	4160085
sp|Q9D0I9|SYRC_MOUSE	4991023	4876246	6300761	4059031	5439742	5327476	4812440	4676116	5432008	4177540	5015394	4636451	3510615	5617145	4692381	5004702	6288555	4981742	5039841	5082174	4676466	5015394	4618491	4933787	6679083	3922906	5421057	4767764	5196710	4895789	5984697	4358092	5015394	4821965	3018200	9172988	3949257	5303365	4562771	5077632	3740130	4370391	4421751	5015394
sp|Q9CY58|SERB1_MOUSE	4372018	4303317	4772049	4297019	4510835	4751448	4354618	4503618	4448755	4550862	4481860	4596566	4320005	4650098	4888692	4480057	5112379	4132805	4173434	4366965	4177678	4481860	4507893	4548693	4579950	4392951	4294375	4455768	4227662	4324538	4761500	4739488	4481860	4555689	3665303	5080338	4376759	4721517	4426336	4440371	4406977	4397492	4274595	4481860
sp|Q9D0F3|LMAN1_MOUSE	2666546	3672930	3883754	2951138	2652692	4933651	4215934	3249615	4349282	3251615	3511494	3111816	2593669	4440261	4810874	3106185	4417220	2860757	2825987	3021548	4159386	3511494	2835623	3062487	5069532	3302083	3138130	3800343	3444768	2891313	3680854	4227691	3511494	3222435	872850	5425309	3401140	3795912	4186776	3404925	2931439	2839805	3504290	3511494
sp|Q9Z1P6|NDUA7_MOUSE	5161493	5765111	6251643	4434121	3991068	5465670	4947620	5650690	4799970	5371771	5177711	5526208	8854708	6337354	4594067	3858095	5119342	4400341	4762349	4215432	4897928	5177711	4922073	6282810	5350908	4467570	4564090	5190001	4717759	4986574	6249390	5366389	5177711	5752969	9077951	6170568	4055715	4632350	4389062	4384544	4945003	5008852	4879438	5177711
sp|O09158|CP3AP_MOUSE	5948247	3438485	12114194	4939698	3105448	4634740	2342140	3614937	3185727	2343327	4870509	4757235	8043585	11516003	4499592	2665854	4542311	2958277	3734951	4345630	3814439	4870509	6458818	4542935	8846639	3399696	4070068	3320677	2568198	2230608	10069083	3721137	4870509	7752719	1940862	11148168	1891767	4629687	3410131	3442257	2515406	5598067	3476318	4870509
sp|A3KMP2|TTC38_MOUSE	4759175	3997248	4681792	8080745	5625879	4213885	5468808	2207052	5155233	2043303	4805602	4463992	5121604	4679177	6872916	6122725	4490909	5747001	2080507	5751116	5128248	4805602	4554790	5342212	3979508	6059160	5415919	4805326	5202464	2446760	4246290	6163954	4805602	4700044	4642330	3973831	6560467	5896170	5103827	5447426	2330654	5124940	3851821	4805602
sp|Q9CY27|TECR_MOUSE	4885326	5133008	4163516	6013479	4982165	5589463	4627326	5433430	3728861	5636269	5054629	5006678	4051572	4560944	4544572	5179046	5455971	4469456	6033290	4900392	5271418	5054629	5382220	4851999	4909610	7329407	4079257	5278904	4263534	4845388	4279069	4441188	5054629	5500831	2116240	4775924	7344493	4441239	5341082	3807099	4960599	5601732	4782760	5054629
sp|P56395|CYB5_MOUSE	5196579	5517336	4223918	4531797	4034974	5547292	5381735	5888729	5383608	6821956	5142189	4813065	5953025	4297421	5180109	3803098	4428316	4851726	7034634	3746549	5820142	5142189	4496906	5208819	4679975	5830737	3545580	5723950	5688147	6764950	3987647	5082280	5142189	4592572	4242239	4524975	4940387	3327383	7143778	5598924	7219992	4776598	5600701	5142189
sp|O88533|DDC_MOUSE	3866039	4136928	4411723	8569066	4588124	4707314	2781201	2730657	2601682	2332715	4338514	4242574	3894877	3973958	9905148	5196591	3499770	2512778	2944822	5224215	3940997	4338514	3776746	3702197	8297355	3948753	4804366	2993206	2670359	1988645	3397107	8261767	4338514	3494832	1990290	8521641	4868254	6078755	3615033	2583665	2139313	3740985	3495500	4338514
sp|Q9EPU0|RENT1_MOUSE	5187655	4872688	4796547	4407351	4724633	4488254	4468492	4607656	4257122	4524391	4655977	5257752	4047211	4669208	4601660	4829938	5109177	4281921	4592779	4691286	4445798	4655977	5288603	4488921	4938935	4395764	4514782	4358894	4437808	4437442	4890445	4696166	4655977	5542143	2758731	4958680	4229623	4435106	4561808	4410795	4244394	5389182	4928316	4655977
sp|P62827|RAN_MOUSE	4615143	4118074	5488091	4172155	3836189	3728183	4352477	3844275	3791422	3915752	4239282	5016582	3637319	5577213	4686714	4011295	4391944	3946555	3834602	3604603	4146615	4239282	3636930	3678017	5172038	4453546	3019774	4486401	3785316	5864489	4142573	3870283	4239282	4171609	4159490	5024681	4674925	3259094	4385203	4223989	4415865	4128663	3854936	4239282
sp|Q9QXZ6|SO1A1_MOUSE	174873	9711421	3711741	9476149	238096	10584756	377462	5818914	4031482	114954	4613690	340563	594375	2252821	10047051	261073	6498661	3162093	9404702	3433149	4523290	4613690	6189109	4160411	10956519	621221	4254696	4480035	285647	601753	2880290	12165912	4613690	4633608	341829	9842019	1318357	4464735	6166649	4256064	888956	404029	10776492	4613690
sp|P63276|RS17_MOUSE	4691668	4667871	4734089	5442346	4795234	5851253	4546051	5191447	4611967	4245249	4910186	4700958	3751316	5244732	5738463	4263637	6070435	4785572	5049035	4203804	4609031	4910186	5190702	4698534	5338197	5118968	4804108	4808544	4391737	4572650	4530156	5453080	4910186	7508268	2650857	5017642	4035588	5929433	3476544	4151170	3396745	7416708	3758310	4910186
sp|O70503|DHB12_MOUSE	3116724	5008307	3942465	6541960	4496454	5359133	4959418	4092548	5671699	2789934	4637973	3275409	2755357	4152689	7714629	4678957	4903772	5608257	4529655	5000550	3427090	4637973	3955849	3057900	6452087	5794260	5274894	3321249	3971815	3212814	3877139	7473954	4637973	3888640	1398516	7707214	5687150	4683603	4247094	5572021	3018721	3186992	4847822	4637973
sp|P84091|AP2M1_MOUSE	4853401	4711931	4561157	4405406	5160621	5083656	4820432	5025628	4532816	4703057	4778759	5308553	3976826	4888364	4184986	5050775	5613809	4783177	4646844	4714733	4402574	4778759	5031849	4216688	5139282	5130505	4614866	4413436	4551428	5066210	4791176	4576715	4778759	5300811	4273458	5501499	4377125	4832176	4282179	4576943	4579764	4861227	4762187	4778759
sp|Q9DBE0|CSAD_MOUSE	698146	14853693	1044933	1391702	5469878	1232374	6270958	4916856	10949069	6641556	4899414	1125066	1175480	1817286	1824721	5924713	1331523	18441466	6995062	6597667	811252	4899414	3797351	3455741	7613919	1431590	6473163	1362036	5927006	14369114	2063204	2457288	4899414	1634376	768926	3465128	1600067	6426550	1070103	10269819	7044547	1221219	14881616	4899414
sp|Q9JI75|NQO2_MOUSE	5953753	4718346	2555505	3963997	6433530	3588002	6906948	5447177	5428289	5275670	4939939	5433988	3591051	2987267	3164062	6614243	4188827	6406233	5343559	5834675	5406308	4939939	6315976	4772563	3253626	4393063	6073238	5651055	6324619	5246035	3257401	3845332	4939939	5720563	2953407	3444721	4624926	6261629	5170602	5466539	5299237	5788099	4249548	4939939
sp|P61982|1433G_MOUSE	5146893	4781768	4373709	4569853	5764146	4772836	5093853	4597940	4902380	4589684	4855166	5270340	4460630	4670976	4665723	4908308	5192110	5513758	4455173	5161960	4416993	4855166	5140108	5226571	4610333	4288600	5434320	4788494	5060524	5079782	4472515	4535055	4855166	4831970	3557979	4895128	4349752	5400490	4504747	5172991	4883998	5263263	5073596	4855166
sp|Q8BM55|TM214_MOUSE	4089998	3834243	6194700	5232427	4059222	5159337	3714637	4471242	3585248	3300055	4478579	4240179	2789438	5232262	5330766	4053354	6548623	3520534	4252513	4091583	4123013	4478579	4448496	3310110	6269682	4340990	4323925	3696372	3711160	3527056	5821298	5521620	4478579	4672421	2157658	6483502	4769562	5017745	3867920	3901011	3516691	4479344	4068230	4478579
sp|Q91YH5|ATLA3_MOUSE	4789110	5344235	4866240	5326217	5056206	4191502	5267861	4699579	4332834	4561561	4890194	4977445	5404800	4819665	5413346	5295412	4377007	4979472	4589377	4813379	4734030	4890194	4562102	4625930	4649241	5641015	4971939	4824516	4798293	4989492	4489604	5187340	4890194	4618580	3363879	5451198	5293409	4389791	5349523	5023678	4962402	4691226	5028695	4890194
sp|P61089|UBE2N_MOUSE	4910944	4146094	4306186	4681487	4550811	3951501	4737619	4251596	4352921	4057963	4423042	4830956	3554390	3872845	4414733	4646993	4899049	4546356	4663884	4273805	4051849	4423042	5310064	4142037	4107545	4001458	4745666	3992729	4959072	4414692	4114017	4329152	4423042	4783294	3297206	4255806	4936389	4583052	4007784	4483141	4233907	4794161	4218240	4423042
sp|Q62318|TIF1B_MOUSE	5536953	4697523	5099606	4616870	5037327	4431480	4686929	4396022	3812249	4268276	4721239	6163881	3575533	5126853	4670523	5045037	5474000	4077220	4354521	4589351	4372189	4721239	5222480	3886402	4913181	4793868	4329233	4388098	5023135	5480345	4692842	4173097	4721239	5267609	3084948	5027453	5242146	4673640	3954995	4080333	4498711	5425769	4709954	4721239
sp|Q8BMJ2|SYLC_MOUSE	5641611	4114741	5460397	5355311	5901028	4265920	5283954	4160988	4734687	4479158	5004048	4963540	4091870	4838210	6336605	5224697	5122740	4941067	4933400	5518732	4128987	5004048	5005851	4535102	5682945	4924718	5646804	4036903	4407839	5090897	4768614	5916769	5004048	5202911	3716709	5586534	4944004	5868703	4364949	5548436	4627772	4762982	4763777	5004048
sp|P97328|KHK_MOUSE	4945437	3458480	4170377	5898405	4586358	4805181	3899739	3899728	6046863	3855035	4574266	4677768	1598013	3417523	5551343	5030324	4807457	5216081	4403445	6609564	4341306	4574266	5092021	2456958	4418926	5644015	6911373	4525727	3615391	3713187	3180330	5726051	4574266	5710877	1063317	3544564	3858764	10610251	4250001	4309735	2836905	5495765	2215676	4574266
sp|P52503|NDUS6_MOUSE	4901323	4685891	5323253	4268781	3917856	5245825	3645943	4922719	4132850	4627671	4585770	5250359	6276128	5084558	3880399	3779109	4568576	4255642	4335260	3802467	5026968	4585770	5544422	5488973	4799753	4077940	4007303	4651580	3749809	4769805	4849391	3661080	4585770	5105023	7519040	5085094	3554593	4079658	3700027	3945042	4298923	4808093	4807304	4585770
sp|O54734|OST48_MOUSE	4944582	5136952	4792971	4304142	3980309	5648611	4508758	4229440	4980617	4235583	4658194	5435725	2922735	5267450	5496000	4278471	6008318	4028386	4234409	4197610	4626137	4658194	4499408	3399348	6053530	5025831	4516966	4344354	4360686	4255779	5000789	5102873	4658194	5367104	2804255	5229903	4675717	4227190	4953461	4869523	4073696	4832720	4620886	4658194
sp|P63101|1433Z_MOUSE	5121954	5503959	5570218	5460678	4793095	4176419	5159270	4586751	4688144	4681672	5029450	5696881	5429972	5598984	5777986	5197594	4946453	5357859	4592408	4474784	3760202	5029450	5140750	5319091	5109423	4631161	4877574	4165156	5378935	5654394	4875283	5166654	5029450	4874456	4936452	5493183	5454322	5120632	3727583	5514467	4876464	4711410	5346282	5029450
sp|A2AS89|GDAH_MOUSE	4015600	6359746	6856120	2904625	3528230	4302615	3458269	4281123	3105394	4528141	4372786	3990141	9292813	7160794	3619786	3290084	3324763	3005063	3935780	2769244	4677613	4372786	3527194	7945795	5152938	3945360	2803408	3882533	4052956	3784696	6332357	3005831	4372786	3875591	8447060	4879435	3744740	3372916	4052420	2899850	4033963	4185851	5506868	4372786
sp|Q02248|CTNB1_MOUSE	4611310	4789534	4844077	5251153	4721784	4687489	4318966	4526218	3785996	4455413	4660092	4738423	4462669	4557343	5274410	4322196	5488774	3814662	4981161	3859768	4533348	4660092	4729689	4741618	5091275	4640242	3994227	4440225	4470075	4617813	4771648	5037473	4660092	4666390	5053035	5582623	4832953	4229774	4317865	3705775	4229919	4739451	4840558	4660092
sp|P46978|STT3A_MOUSE	4415723	4480982	4646644	5131104	3970164	5304380	3930665	4329863	4143265	3634312	4450915	4988498	2233788	4717014	5258033	4105390	6070004	3847391	4513604	3815430	4238642	4450915	4707938	3111133	5533360	4781215	4288897	4236133	4004675	4010507	4449840	5176711	4450915	4999875	1675716	5569296	4657411	4313454	4565546	4622298	3743816	4397905	4443606	4450915
sp|Q8K023|AKC1H_MOUSE	442818	592759	14155365	11743567	8652544	712110	554527	531341	395839	465172	4573452	155820	281733	19734703	15245965	10903052	171401	255296	88585	6081620	128105	4573452	657535	964377	9137203	8321458	4129453	851857	1046110	925581	11698710	8909372	4573452	412750	567159	14742335	15426805	5714197	801491	450632	313036	355523	311085	4573452
sp|Q9JMH6|TRXR1_MOUSE	4768524	4617324	4321862	4302604	5563378	4733385	4866979	4477990	4315193	5007361	4684682	4539589	4390187	4601419	4165921	5362119	4842745	4695305	4543892	5413683	4364860	4684682	4102875	4438123	5543578	4367054	5318051	4424568	4789476	5197334	4442682	4483892	4684682	4576147	4289977	5469224	4482119	5479916	4104452	4548175	4570573	4613081	4289664	4684682
sp|Q8BTM8|FLNA_MOUSE	4695083	4169848	5170151	4215532	6601125	5305415	4970941	3555591	4255330	3706906	4704845	4663821	9561216	4438199	5037772	4324549	5058782	3767254	3421431	3428497	4593139	4704845	3701996	3491029	3901885	4068760	3005973	4766452	4539658	10078292	3990202	4816066	4704845	4211065	7373016	5104396	5404454	3544913	4964296	3945513	3894134	5002597	4330460	4704845
sp|Q6ZWV3|RL10_MOUSE	3974825	3725937	4623101	4689434	4318853	4531497	2481632	4174035	4291860	2895023	4041078	3816299	2357990	3789197	4383996	4126358	5236779	4066404	4167870	3690366	3981178	4041078	4201716	3499281	4722463	4039406	4079777	3941509	3421792	3930461	4033336	4424291	4041078	4568642	2418839	4710990	4222857	5611839	3494158	3746390	3036022	3901725	3528954	4041078
sp|Q8VC97|BUP1_MOUSE	2477421	8842896	2150087	10884866	1868424	6759824	1523509	3023471	2334529	2777595	4517151	1542930	10616798	1776958	10605253	1375807	4639795	2242216	3228220	1721313	8290474	4517151	2252238	6816422	2193425	9152411	1575751	6738618	1752543	2339874	1844697	9462119	4517151	2126577	7354692	2253202	9538536	1426597	6992248	1897006	2823115	1961954	9124009	4517151
sp|Q9JM62|REEP6_MOUSE	2995566	4097401	3588569	2706452	3255463	5545117	4726891	3948427	4972718	3837535	3844376	3233944	3446893	3922826	3876449	3643626	3329432	4571913	3711677	4456467	4419643	3844376	3423406	3773079	4331770	4132551	4295453	4165853	3656319	3312269	3821105	3698038	3844376	3403739	1321037	5000790	3731433	4187230	5111004	4420753	3769744	2862701	3703565	3844376
sp|P84099|RL19_MOUSE	3649105	3526133	3808253	3866807	3901067	4568086	3368462	3763787	3698016	3420739	3767623	3598467	2769892	3239698	4128711	3550298	5064728	3486821	4025584	3505378	3450629	3767623	4405536	3214316	3997827	3655914	4036847	3474485	3506176	3470334	3530338	4208233	3767623	3985668	1861961	3906184	3883840	4425599	3227383	4008165	3577810	4003579	3789735	3767623
sp|Q9ERU9|RBP2_MOUSE	3987425	4122911	4826676	4188892	3906475	4044672	4199368	4511947	3840764	4594453	4231655	4460816	3795455	4914276	4364562	3981947	4615269	3722047	4242310	3883012	4272991	4231655	3652801	3559506	5227445	4082818	3397398	3988430	4099433	5497108	4455827	4308354	4231655	4204347	5605172	4953570	4185052	3748310	3687570	3695178	4186256	4324058	4031404	4231655
sp|Q8K0D5|EFGM_MOUSE	4187774	3924637	3917107	6188124	3686515	4690855	4321045	4792664	4670158	4541086	4519424	4189902	5165545	3816527	6314254	3779806	4155600	4727966	4523188	4077272	4507061	4519424	3661422	4399974	3461551	6405219	3678308	4205977	4107789	4614289	3632766	6535805	4519424	4293477	6534503	3882826	6315243	3599816	4476522	4278980	4673682	4143960	3932702	4519424
sp|Q791V5|MTCH2_MOUSE	4296115	5022543	6667080	5304348	4047906	5113604	3489961	5020817	3998297	4335810	4822040	4243350	4708841	5710115	4995266	3914778	5213866	4317481	5856004	3376999	4780134	4822040	4794465	4511394	5342051	5948787	3723033	4520102	3778053	4706839	5880203	4633555	4822040	4718417	4516566	5826172	5831282	4458306	4269764	3937766	4248056	4377048	5223420	4822040
sp|Q9CY50|SSRA_MOUSE	4915482	5021859	5322619	4853430	4170854	5986601	4216841	4607939	4661217	4108525	4812997	6066957	2818946	5519088	6095457	4421551	6388849	4048305	4474671	4303340	3857031	4812997	5011063	3622946	6802204	4964747	4366608	4000489	4147894	4133894	5135985	5858281	4812997	5865849	2341382	6064738	4735746	4555977	4436282	4698457	3894343	5078091	4894688	4812997
sp|Q9CQC6|5MP2_MOUSE	4446717	4288047	4691571	3597772	4493205	4525666	4611009	4149707	4832934	4045326	4340623	4272507	3393945	4380031	3894837	4779072	5080861	4562166	4186954	4810664	3823624	4340623	4222392	4094759	4875242	3712791	4650206	4138956	4321186	4633254	4631539	4332401	4340623	4298675	3623656	5042841	3858276	4559418	4185999	4741428	4266580	4226638	4282645	4340623
tr|A0A286YCV9|A0A286YCV9_MOUSE_family	3836768	4087642	3930335	4390502	4248043	5930265	3815316	4629206	4083323	3870335	4276759	3450729	2708723	3338402	4146120	3974239	5699952	3730097	4800880	4242868	5371469	4276759	4180324	3493790	4993362	3363957	4654004	5364614	4016782	4418838	3886650	4547937	4276759	4329108	2021655	4679032	3423099	4698889	5826367	4431492	4181324	3783433	4638807	4276759
sp|Q9D7B6|ACAD8_MOUSE	7083845	5066843	3629846	4016162	4801382	4864884	4032418	4147646	4623257	4104147	4648036	6097944	5256005	3493323	4335767	3978638	5079225	4429049	4341954	4411281	5243391	4648036	5686864	5084076	4015447	4549867	4471589	5157085	5155588	4059332	3656553	4397548	4648036	5378071	6201941	3453127	3967787	3905059	4588642	4470548	4228620	6075817	4905618	4648036
