"accessions"	"AJ_F1_1_tmm"	"AJ_F2_2_tmm"	"AJ_M1_3_tmm"	"AJ_M2_4_tmm"	"AJ_F1_4_tmm"	"NOD_M1_1_tmm"	"NOD_M2_2_tmm"	"NOD_F1_3_tmm"	"NOD_F2_4_tmm"	"NOD_M1_4_tmm"	"C_F1_1_tmm"	"C_F2_2_tmm"	"C_M1_3_tmm"	"C_F2_3_tmm"	"C_M2_4_tmm"	"P_M1_1_tmm"	"P_M2_2_tmm"	"P_F1_3_tmm"	"P_M2_3_tmm"	"P_F2_4_tmm"	"NZO_F1_1_tmm"	"NZO_F2_2_tmm"	"NZO_M1_2_tmm"	"NZO_M1_3_tmm"	"NZO_M2_4_tmm"	"WSB_M1_1_tmm"	"WSB_M2_2_tmm"	"WSB_F1_2_tmm"	"WSB_F1_3_tmm"	"WSB_F2_4_tmm"	"B_F1_1_tmm"	"B_M2_1_tmm"	"B_F2_2_tmm"	"B_M1_3_tmm"	"B_M2_4_tmm"	"129_M1_1_tmm"	"129_F2_1_tmm"	"129_M2_2_tmm"	"129_F1_3_tmm"	"129_F2_4_tmm"
"sp|Q9Z1K5|ARI1_MOUSE"	318398.642130228	312409.752041025	343668.606188827	332685.436116202	321614.078883602	336614.243803772	264580.031221908	297706.844673853	333352.271471655	365111.950069413	403878.657840658	270931.265677839	339874.229586071	307981.963187191	316696.176471363	302642.113086411	329376.42042831	279663.971652087	324373.878374789	316450.569513539	283273.871731952	335553.771086046	331628.117461892	321771.730837981	322953.212103704	398860.058924762	336445.659117461	347578.86034711	382905.532257162	358267.577634769	236833.729753733	329091.129473664	323499.295283102	298014.861681764	329250.888513242	376764.725906406	344200.357742119	404215.842931292	414577.69766441	348173.74119864
"sp|Q3U9N9|MOT10_MOUSE"	318478.969883476	305996.192092204	305904.879619552	303656.556712192	294205.071176648	453231.826146409	1072147.2129696	663215.202811692	1737078.17035505	389896.23227713	654750.702336299	628056.878359867	560535.558967304	615687.079638322	636047.295557147	313905.199802762	404162.825250314	359789.042019297	384243.221963131	300775.333099769	282687.798710096	284526.263615199	211197.506070705	251519.62951453	252626.453678876	601332.989218739	457143.791577964	406297.809003779	413002.803005616	301679.658598441	432421.529483144	449762.785719968	327228.483495153	514463.578328979	391670.53455719	436981.134698838	484204.752008938	395036.666663177	394941.302530583	412314.294452105
"sp|Q9EQ80|NIF3L_MOUSE"	372699.223718591	414259.85164182	418030.468069889	388613.651868667	398840.099295494	405451.107051864	389781.245417948	417414.424332984	445228.929047585	411934.428547391	321266.077177589	346262.873614616	328197.177292936	344139.551211581	338261.813599163	581645.699051127	489812.076071003	483287.918128152	534442.52233083	527341.168969182	471968.734545818	493705.075649426	484814.603347483	484126.880557767	481072.799812195	444083.726889192	412916.142145298	435023.459272808	423819.713773452	438289.391358197	369743.733683078	390161.269910263	382669.289103968	408736.859577624	404302.853641753	421613.229257537	377506.689830719	390047.134581058	360746.533356678	394122.395215844
"sp|Q9CWZ3|RBM8A_MOUSE"	407012.888849603	275618.750746359	376661.683176623	388143.798748625	427844.370892438	335789.67304715	300286.09506381	343545.68242936	507997.532864193	377516.81813127	378029.058848287	275522.401138603	389952.938395454	421906.401211384	355569.923186589	415292.193631828	258693.757428031	439716.123054788	384291.991074475	406362.982202856	390118.130317179	507789.280324214	583261.921275789	345233.32787728	321278.52293469	376411.011876208	360736.976080694	400698.443404531	360983.928869022	400027.463050946	394262.036407001	403136.45829193	457660.836029271	397010.296282588	357996.127305956	357202.87214058	410483.4274782	416325.199795746	391298.415270781	381861.71747957
"sp|P51432|PLCB3_MOUSE"	385425.294967791	424796.002567632	375571.686794731	407007.567749724	416407.303523855	358475.232140817	324011.631167355	297657.619792676	335511.165657797	359180.208645153	332832.929589332	408622.111719501	353432.225870454	356244.574438987	319540.620424568	387995.034103978	439992.281958873	381454.731747435	402193.123708863	358555.339934913	344198.915717124	362535.243069679	344974.972847306	348452.586428657	363307.720273112	302539.759174333	325277.289603086	316656.690538699	301940.514781984	309869.432025415	410175.757369783	340408.354855667	363289.754257982	410325.354331693	366251.449782666	375799.492746938	426480.965074038	370737.758517946	407040.657089943	417758.5553419
"sp|A2A432|CUL4B_MOUSE"	402567.433432094	372522.702151683	438748.571744828	429353.546721906	428144.50826073	468644.197728915	387127.506001976	417149.447844941	390151.102895134	464423.340325191	400418.818957872	365754.092964572	423368.193391471	410052.144955045	423362.34374869	446326.86155469	435176.953438081	387745.943777781	432475.873082036	379014.108479997	380277.806945169	386190.541524929	430215.758580469	414360.628020129	443657.147027584	374231.124758588	412533.744422372	399632.854978103	390368.401861898	349389.698013844	415786.004744936	535655.287005931	494575.026299698	450289.59442994	462490.86458881	399403.644616907	386499.328285966	459727.857295573	425068.761258385	403259.096834192
"sp|Q63918|CAVN2_MOUSE"	347763.333975816	379116.925761033	277547.60730001	291133.352571116	282859.685640824	434316.015176915	724362.499534167	396613.246352722	753587.587480607	610919.437863533	544222.340228783	505249.030107827	446975.940425047	509294.678357135	630277.605049429	484701.041363642	555383.723979352	437602.88998358	562452.248612554	364125.747779499	494903.266573937	375953.820338255	329625.231062629	294862.24052457	321484.293744995	387301.700703694	331591.382810077	418707.89308326	351913.16777541	313786.499202691	469148.427271306	447318.417309586	525760.544305592	545182.839166815	590666.405244268	319635.628695162	373764.165297139	358667.470728109	542990.64991166	335903.778196494
"sp|P23780|BGAL_MOUSE"	372091.867535502	455410.805212153	384049.549937491	423577.001786776	439035.344920459	194568.122374446	243787.982897769	237145.578094595	377694.464480435	280039.088824104	639489.916438462	630234.853522624	547669.142089804	623625.358874459	576402.470626987	626919.505423705	536249.409702151	543211.005612434	480333.671423554	519215.392131117	157010.535905748	219330.120854617	164770.720478104	199354.167864636	201849.959567748	914502.006264409	730398.680059731	661002.595810911	654624.85599123	650641.179258801	530144.350196594	752435.702345196	649352.938939366	613115.825813005	783928.57188785	150999.558965008	210139.853350187	214703.071428968	270532.608947879	320280.802518237
"sp|Q9Z1M8|RED_MOUSE"	448106.412276029	431568.00690676	420583.327449785	445037.224250821	426124.612724282	422410.041967365	384453.863540384	411576.562892876	481974.258552296	390543.349141536	424962.051032631	400896.179520093	406149.956097859	421352.707739265	406085.978040349	481059.599878135	426258.852559732	496850.187350922	413145.136105318	503783.335900092	400777.579238193	438115.369717423	388716.436957023	365915.584068323	392486.428641269	373510.002939027	426783.949613695	444133.235046665	400222.626005821	377924.444326084	437628.327591311	336128.706556834	428671.948920681	430542.286618626	379063.451846057	418550.509603981	415805.76734221	427499.98327	424036.405969312	429687.026899187
"sp|O35435|PYRD_MOUSE"	387223.852955131	405943.557395927	277002.098332877	351740.481439656	357630.563078649	366211.994120414	482205.460652464	379894.591496525	396705.858670986	342960.190173931	656532.201944522	684869.164492782	469078.932265625	547785.402280344	561351.062261819	661434.829162484	767784.597937218	705955.205836726	600000.639318851	760306.795501568	317795.146069694	350793.497084006	281403.520057785	239827.617242488	274651.061053122	405822.480373995	373309.886994443	451680.817976494	375289.042446482	423960.058420337	270107.782574567	262825.704374671	238346.384929693	265049.832518214	230999.630017188	287886.425461485	353868.461348302	297157.325276442	272794.944512996	343280.406083936
"sp|Q9DB30|PHKG2_MOUSE"	501759.47380468	511996.970034801	476848.38904479	428982.764927802	472492.458373671	389034.652897299	282690.69701116	308569.833345686	456825.630574722	414936.032641595	329968.246477668	371266.872737403	376010.203567407	358148.397283338	341205.336932544	370451.19396733	343097.246793271	433115.805231044	371073.649386165	430367.634144307	478211.002234988	490342.577321589	586897.200471226	589925.557122261	444700.262422396	273679.336595266	295887.034282256	332194.176122535	400427.452947079	362039.568249924	535067.832814546	563396.864883103	671234.163484643	519565.22541027	495211.336924357	405374.359712683	419872.799982943	392994.793447622	379973.562446068	394646.496889525
"sp|Q9CXD6|MCUR1_MOUSE"	337956.490832429	346241.905406051	323943.451420354	388729.398566297	392307.527443504	406339.789171142	539470.945799624	519978.129949573	522888.018969874	395096.663114838	410996.720863269	415517.860492772	311365.578486413	408018.926353624	348186.10452416	440184.646730204	415109.045167418	498122.975911975	440437.669573164	442784.651524225	378582.521895369	341907.665736487	363962.012866129	388067.634905523	475545.510620545	527010.792414065	453418.585324528	468581.452528478	496990.041999056	434618.148355626	349568.266989384	297372.44397796	290037.250027002	274055.98565641	288405.313387888	460496.140831148	390683.34660796	399506.991306296	371256.418377984	389862.521572872
"sp|P06537|GCR_MOUSE"	447354.074294397	478200.372815731	369618.079565426	424224.398570133	454603.885194695	407475.053454482	279503.99826248	427060.406368038	221456.378465345	409182.46862932	359591.133058948	448646.802493147	421767.491055486	398297.19241925	372365.321029999	436412.756493897	417853.598226077	395837.242487329	376833.185810146	470595.172179368	451961.617594992	494886.12250735	462226.607791275	359853.701843647	410506.654553596	351244.63786338	339146.003227225	427190.379066464	469035.261056161	454218.596383894	482322.097008928	346481.207849001	478200.424414787	509855.639029749	376050.22885841	441372.843108053	460923.584171067	409699.90724739	479932.280855191	516550.689134597
"sp|Q9CQJ8|NDUB9_MOUSE"	502382.503695719	453576.300276237	480212.361008775	552039.160784796	487513.80286713	460344.242086601	838860.298085786	562527.279369346	504977.570294583	455757.260924705	605057.179300236	572620.525774628	461033.621830336	593454.07998341	515311.856294842	462653.180017205	433287.467775302	452949.083491127	449202.722015835	415142.182214882	361248.133926768	307371.617217758	384414.874987638	417626.838344925	438116.615160023	410962.660028517	406767.875439007	488600.441135913	482260.936653191	460016.621488119	438187.950768098	445519.201873092	425913.968323121	390985.455787688	445645.080596227	495246.583899307	445581.166390295	465352.775907004	401869.469930911	399983.461373684
"sp|Q9D8H7|OMA1_MOUSE"	440098.127119982	469839.873631623	520819.067831851	503855.183827176	453997.820026569	378789.657144868	486616.196706761	528140.034184011	353942.102449245	419253.408393532	288499.776198503	287045.467701138	289162.839615996	300172.076640241	291213.53705156	414630.848802191	397949.52939975	467261.893905058	424795.216173948	423273.890276916	589454.741860124	513988.058263473	547409.850921234	527519.505413405	605661.932114798	433494.315371765	417491.32248429	427365.296411935	479718.010177473	448281.539574304	453221.69181604	469831.651443404	452334.758374163	440373.293002458	483312.891579164	557150.613725331	514305.676430968	476611.866331749	474577.584779686	518101.328535272
"sp|O09117|SYPL1_MOUSE"	468160.921598917	374366.816856775	452821.477234003	414078.906251566	389260.795380167	275305.040860152	291208.094811673	276032.18688716	308554.407224534	271362.240459156	731403.789877872	520391.334585032	693638.945555988	471599.387266154	755712.100352115	405097.977687535	331265.906091089	456440.160687157	317275.582031569	491747.893928871	465416.713497781	446164.748926163	414526.818292691	366028.880738964	445108.748040872	448765.187542592	571030.351329375	411174.383962836	425065.061576301	397549.071781373	363137.377075541	387463.448545854	382636.08542484	412926.351427425	426439.190960387	418763.639643439	392215.350399092	542095.747925471	530325.711461021	417782.284354684
"sp|O35711|LIPB2_MOUSE"	410712.863532709	412413.814982892	441255.461267943	440252.373479287	453818.316648748	419401.739565813	594254.078868093	379185.543739985	384039.893513919	327592.877888635	490737.674930678	499646.799578427	472713.52403861	481368.265391089	494029.990207352	462934.302131332	494141.703043794	403035.568904837	457256.319187139	448079.257454234	363467.541326651	375776.123346332	378105.379022217	359025.921664457	402657.822408063	394736.447226116	388205.275073736	355713.522183575	404750.32554233	382742.195159864	459952.186659572	506912.920586967	484553.740892913	492263.78714499	512922.223798151	351876.670481434	427213.397165416	383432.123368127	396345.381009433	421457.186247701
"sp|Q61136|PRP4K_MOUSE"	389170.331561255	479372.764655342	340335.280796029	410486.835008155	413710.892568846	379797.685031552	414261.991530288	405418.216056164	491802.431980407	375997.415145555	432160.460084344	463287.579694756	416418.200340985	439554.377567284	414450.009211509	434019.173601313	426720.31750354	477374.502067516	459668.955813024	451707.189448845	403749.244795325	399551.195464646	381838.581595037	382645.725766362	418955.481784621	424234.41146776	443556.892389442	396724.602791636	400725.47614661	410872.943545641	447188.97399258	430540.432827177	397078.648230497	407746.433600198	413035.648303776	419482.953526609	403742.000437146	384114.804040397	430073.378785544	401933.367206868
"sp|P16330|CN37_MOUSE"	529605.775192545	464336.358823877	530926.307009399	463215.341204092	510825.115185763	571138.54004276	570676.70988194	504490.097122821	368937.817674062	555192.004773396	400599.349541779	346784.502183823	352758.695926113	338391.972234696	253516.237733955	139387.018306267	201805.600069456	233329.417281518	249485.561006762	310627.096112926	633402.35174739	557932.229840789	577764.078871359	641530.659563307	545594.172851249	452757.597832019	451544.655251041	489639.89248773	605046.494859726	581921.232715076	389782.047648292	416454.258967184	355070.806058858	470438.290681954	479108.511765578	542209.993026598	615936.732710365	535501.299383392	667667.548833823	552342.293983708
"sp|Q4VBD2|TAPT1_MOUSE"	428423.173910224	464159.539071017	456900.535859023	410308.310440624	474931.195125035	489902.539256993	478232.591601803	552597.468764096	461500.971652889	486471.326563144	387906.660796331	364727.921925728	330151.269106064	383235.125069006	389088.573693669	374887.462725153	398806.535723965	423677.977035875	431502.403369332	372538.200442751	382757.800504099	379670.730898603	363353.272695385	371520.196847527	360622.513065374	522667.539837764	450686.525763811	551200.745372239	567292.793047047	570593.171156102	492372.288550534	452987.548799075	416307.728905434	479264.822492937	498355.789053845	485067.575187888	536087.393015101	528867.781766694	472766.022399134	512445.569922831
"sp|Q570Y9|DPTOR_MOUSE"	345570.974076215	315095.682526035	356061.058024569	317689.372443548	294358.517612528	411777.419053029	352103.67433493	357209.252638841	196154.998540638	449536.715453547	435097.553814828	362024.297935042	491908.652466457	387745.921344582	497499.692384968	294060.809991155	233089.239295834	312981.737611766	371340.445112928	327320.525974775	281785.088921397	303793.13359587	349198.801826397	338189.541173713	389055.55691302	372737.372418069	324005.046941976	359738.631673591	346069.455141319	320902.303079518	313953.60775115	368765.031996763	460552.668958315	336820.092657492	363857.022671544	423758.874943234	355929.443872095	460117.51990821	309998.318845669	310325.965806919
"sp|P49817|CAV1_MOUSE"	53770.6143382803	127655.212772159	100375.693057154	151423.16491439	151482.514514348	249013.464199248	278595.09251251	111062.85265399	119508.597453044	257618.104817106	126968.548358458	165965.325634968	134634.740989638	150656.783946272	256005.727402841	543480.84398183	748575.634919106	80883.6927555834	860038.497260467	174967.152947702	216006.258969977	112908.275967749	94863.5242199463	85758.4348404188	374882.83768644	210355.705332325	163649.914609092	91670.7628357945	111008.009084198	101356.128164271	92051.5053351058	95940.4583171641	123091.226601937	101942.62922666	131999.355957706	116203.006032543	89419.7856892632	122399.29824362	187588.460845455	133065.081823582
"sp|Q9CZX9|EMC4_MOUSE"	412521.217587518	366824.109029641	376870.079860697	419744.609010151	379000.150686658	441503.392094983	334959.411982995	437314.891721481	492869.432618527	445382.832162057	564125.341141366	504705.290115648	513207.018266335	458016.845045213	511120.702319829	456140.854783474	509630.832050576	528435.546658057	498938.609272627	476717.183853107	389548.774143261	356929.442937723	323442.934535871	348949.662812462	410406.825150577	489015.836166469	474092.528567568	536805.248894461	462463.388645897	525787.685411503	382967.459161021	530073.311275337	536514.385883136	411955.994872034	499083.606063591	423528.325621705	429481.902115099	491209.306369237	462267.430234226	392379.860320475
"sp|Q9DBN1|STR6L_MOUSE"	356840.37009275	371919.208647358	419055.085099916	400850.431978318	393870.943960009	497091.888832373	437329.621403623	437114.850183078	281443.765348233	498927.102456997	451221.31558079	428910.347361136	502242.444757763	442892.587486144	464076.273515145	270052.172460214	300317.701466723	313600.959348214	315261.704610201	335066.704478799	503066.988432079	450775.053202812	400414.747236592	419741.70953023	510249.470845596	595902.222739353	536992.42321023	564938.793896353	625348.941277221	585548.146768109	447968.842426778	359640.725651779	347936.165506253	481265.743869824	348847.437209792	488426.422636653	370581.137500027	422432.313038645	407905.501675776	419053.334082982
"sp|Q14CH7|SYAM_MOUSE"	392666.548041002	393316.32069717	352212.870235826	388968.739195296	376882.78288591	403968.655081526	486529.950175742	426857.222815942	610599.318509403	416546.482326842	432758.591634321	439489.658188632	381226.498242123	475560.502341148	358237.3709655	605270.068944053	605112.388459722	623187.583980855	532940.242450028	580328.746837059	445426.313394894	500009.882733037	502790.10497313	467315.083601607	369589.841991672	323116.027589069	322296.037213448	360202.062111877	366831.738041938	430660.782133316	329338.740096145	359034.642500844	347098.810223247	248342.038674097	355224.164048307	400060.454017352	459381.407712	391474.183938153	337060.708132712	445464.757008649
"sp|Q64505|CP7A1_MOUSE"	396479.177500004	583255.330437101	742330.441268388	556922.10197805	397535.322054559	524226.776494368	579739.229987484	590842.059425556	232916.168988015	500189.029292427	475856.796800073	466390.214363622	382802.501313577	442974.839052655	500113.271763006	279330.213457029	172114.790470552	339491.094919465	237856.518594005	183265.923818207	551107.276032376	436911.742578758	423243.008399163	501149.960494312	531683.251140749	280760.325243942	393156.510045464	348046.311873798	318300.042580262	442163.137062062	589603.561894034	501750.695005533	550381.07237892	483276.699957728	467522.997450928	332873.258405534	416054.997706637	415137.705554072	273595.796245905	419898.293277362
"sp|Q9QZ08|NAGK_MOUSE"	421141.756960389	385262.373149812	292037.306157331	329759.398836275	391872.280005885	365532.41367626	376815.516921412	342862.818120255	419586.968855567	394823.523016246	248439.841244325	277384.785991667	270316.350806729	262712.506502065	255490.129851634	790629.65398571	850469.227333188	725111.683830218	768143.147632686	883993.574547249	658144.270040898	694482.059745076	706260.749904741	630775.641378191	584131.378418758	230378.98410376	283624.028632111	320950.207679522	327002.115179609	364559.266040656	405329.360591926	347979.886185858	353298.559685407	383173.433260574	342047.748752574	385023.514935402	540248.014200843	395862.257897865	449108.429316163	493995.746634561
"sp|Q62392|PHLA1_MOUSE"	110935.566054628	193300.506998093	399476.012320769	410787.972602838	161167.011269367	581463.428416347	178497.147466808	432354.699439395	186588.20066651	609920.861159003	609385.945608859	341621.484919824	894522.813849457	508070.935538322	964299.205951355	635164.068720385	525333.243174244	289339.185015389	595353.229884923	221118.995190857	166940.343581431	220566.145787389	499166.940009946	525070.868360535	585240.707193123	739996.357104518	784010.478351696	169372.264564382	254704.349723765	333448.403274636	215888.405773906	451209.370959555	339882.198087796	336401.645208062	520199.38444068	651268.019419043	151403.885955676	716953.503911923	256866.370563262	191224.892159075
"sp|Q99NH2|PARD3_MOUSE"	425870.318727758	398895.752681415	416089.518561365	383500.198184369	387437.774516168	453202.236286721	459753.719468586	418089.957276807	422889.805401349	471592.533665653	357697.545780497	411174.976008105	440996.818464992	433979.326266494	433871.491597444	458547.5836742	476744.668555048	409347.994077866	497077.732984886	440815.485166388	311695.463260003	357033.508579402	351931.570718941	384479.907001881	431164.210306907	453748.897368342	419597.228427609	359368.691540642	353135.984614721	367853.712972161	411471.199929285	538559.477178758	430376.750320903	371650.574599192	415414.93359084	376591.557749347	462531.882971717	478544.757391791	446639.999121779	426226.717817442
"sp|Q8BGW1|FTO_MOUSE"	373233.109395661	374209.21664227	231485.810805607	346093.415861198	377856.540456992	300415.982119529	319383.067335997	392092.935987543	181447.814771516	383675.686805972	290734.586119063	283870.468375273	213135.653472819	217720.899620882	297649.849020074	429034.817844004	389775.007538	305570.269617764	433446.474023484	438121.720946956	338965.558968265	352414.368540724	295853.780097632	250949.063398418	285355.217858477	123162.164352101	350515.53931622	412812.977486494	628769.55119623	338426.342812424	462266.764092005	403154.490517909	347271.054308723	364060.319185564	357316.764133196	351987.334155768	362073.735305318	316914.967564116	408251.815938656	340069.767484534
"sp|Q99K70|RRAGC_MOUSE"	549905.186202162	528036.635768359	392753.176154664	425422.082619342	489224.875387972	456382.15987446	549701.111248195	501035.976737196	705329.287145706	488343.168385752	569227.809952446	605905.252800488	469625.166000457	547926.834852026	440357.824223911	389679.744327487	463403.872143812	482270.697428962	447368.620926478	462873.70710855	461197.184409214	442419.367577055	389086.930560113	355377.97300795	314523.739552856	356447.016704495	409914.048173605	461301.271977356	426694.459894008	488653.122889069	457296.229078152	429328.266525307	413011.226137019	478035.570393294	384095.584708176	373109.750662433	441322.887592369	381353.237345039	441916.76193321	435872.04566635
"sp|Q64735|CR1L_MOUSE"	417043.082331288	460289.685023385	412707.158654668	578664.82485665	543680.023758543	433769.589101355	288881.649923671	367101.359079784	497108.016277485	358351.977378455	453601.938665276	443989.332763466	435445.183775675	426420.206690613	382350.213905978	460574.089849418	523780.161577645	524176.755726789	487600.269013763	448429.199668428	395346.570346056	412733.170661103	350504.110351724	328295.985961761	472645.364596102	405463.863188796	457171.882405951	509710.149972286	421997.778130962	484182.951318706	455484.21127854	601235.487517751	481575.785921131	432240.159722784	421883.520828644	473555.479066204	541774.931658007	531382.596411834	645879.86455613	399648.160106073
"sp|Q9JM14|NT5C_MOUSE"	413413.63933396	452962.236025818	442536.48794357	433277.163590732	453941.84585499	527028.936206764	406998.485603822	424576.120875405	417929.327355201	533479.814427261	382443.130817437	341985.318334184	439203.271871318	357538.5320097	354472.354518816	395233.422927433	411558.867385429	400562.722557649	443565.586498756	397536.332399075	407157.515086859	435321.305413475	490465.892693792	429871.044300003	481635.104204711	348267.823667539	364063.473807856	354326.246685018	405972.118246934	404501.664525813	427903.49836179	575752.946839518	495468.412791233	500653.809026712	502811.523146802	527084.932870642	595785.69479634	628297.548535633	612597.93460775	539192.294116108
"sp|Q9ER88|RT29_MOUSE"	391076.646290756	334964.841276681	453479.356962156	347325.431558009	331973.160913335	482207.203080959	736623.881360714	566873.731643556	893648.676546386	478252.648686157	482118.827438555	421264.820336172	329743.731241294	427532.608974272	360687.421269461	404922.023558549	461743.180024602	499159.389454546	408177.380547858	393936.079449655	282516.696854721	303811.786871266	353390.326186146	429165.747007993	322956.268105838	432656.570077343	371270.130420255	385456.507818213	344905.013980267	423212.511134962	370664.75930498	442286.424471329	374016.617846235	347152.834592199	378499.166536143	378191.057708933	393606.971372709	394840.293156545	263324.943351695	397148.360194007
"sp|Q8BH35|CO8B_MOUSE"	223359.154757824	275538.989662189	387257.224388421	398054.85495928	238724.051351112	434307.138219009	210104.289635789	185871.056651582	72851.3638232743	419350.329073678	514402.060316748	466652.536245246	1285422.87404252	389973.735115552	1061192.10621327	285338.945838835	462072.797841608	138903.658296197	430029.76745817	124989.671244291	312398.554217431	420489.006220202	470138.210972236	451092.225194637	466596.517707046	551364.689552025	407466.521515728	144268.609673106	106380.96848118	115517.212589115	220224.234000492	438191.105593606	317964.657018473	242503.843804122	429532.160888076	651077.431979913	224135.40989626	537227.535601376	270175.942899968	203221.455666092
"sp|P62320|SMD3_MOUSE"	455675.833609458	493665.374352496	471173.665613288	488306.871080236	481085.458782907	427616.87094369	421350.792945203	502413.226072277	654349.739160032	403079.40277046	464321.686029456	482651.155830283	419542.657304223	440421.028219296	445411.834548612	539159.855515411	457381.560734277	534091.374557528	428912.859182691	521707.49473559	426898.14581466	446583.956746889	465969.905557641	406324.729930405	411966.404905906	435823.869282124	480180.988994917	455070.595499055	455573.010341977	392172.171697751	432825.979864936	418567.034777633	400479.95011116	431041.011756195	379138.151511413	468008.974722041	450094.779153409	456914.883923087	449120.663243928	465088.650581661
"sp|Q9CRA8|EXOS5_MOUSE"	507041.513384057	517932.924455518	490472.833042258	493265.341898215	465036.312690635	369616.800641776	388489.758902175	437578.820871626	571514.055473799	367010.224804788	470872.367216932	484138.6515575	503157.267517142	478215.623030819	479756.787847643	422035.079448369	380517.594200968	450159.050153328	405634.692958391	506446.455462348	510371.267637364	520162.292419317	478211.337249912	470341.431605676	491782.049954438	489860.384496925	497741.381110055	431478.869846786	488339.176135023	436342.947483069	491873.733376939	498021.029599036	493241.691059719	496396.081141992	457147.819606023	479825.395948143	465736.273371494	471443.439013222	468116.188777153	477689.788066586
"sp|Q8VE97|SRSF4_MOUSE"	429339.106218591	406491.314239023	336550.429254407	401734.226678021	404988.572521825	390787.358919449	396322.713078318	409719.632800786	687302.294392232	408487.380923226	482784.409975926	368030.564466024	387370.915280197	394492.555934202	351745.266724654	404549.89068805	322831.567832404	516344.055328058	443670.774778125	412302.114470872	341042.381488669	417574.186501852	423330.836583001	297970.243786759	288023.107720794	373243.712671427	429042.089721591	394056.610637165	404847.618339427	417791.282101803	385593.383298249	346584.39225321	389863.073710019	343659.751687011	368947.703920022	406883.68927096	408692.020654706	426120.228055864	434069.167807792	429149.513174801
"sp|O54692|ZW10_MOUSE"	340762.084555599	334663.094524519	323974.097991541	370473.790179866	345879.847334841	457559.836290018	359452.321067659	433062.699858037	303498.883522392	420262.754062522	440963.805865514	373083.024615162	400948.860970547	352547.266217557	448775.723795943	416486.457001554	500113.60231661	417548.38894979	481663.825029026	400066.987959348	391784.898391083	426406.021525858	441528.432466631	436138.085360705	433023.278271293	392146.4342219	364160.4324722	361500.873665598	374981.802034595	372351.086397923	333571.45349767	409642.084708742	400351.28585454	319045.609032215	382347.208756884	335516.890625733	348905.216662426	364262.573466806	363859.597437129	354077.10690101
"sp|Q8CIF6|SIDT2_MOUSE"	317448.423585719	298711.987055935	338918.387654807	337895.018413786	326659.474901065	256322.159542033	258205.527999793	353028.27975242	331635.792184244	210981.635725265	550847.415887648	612526.618915968	440724.176583432	466551.949672492	418563.246392403	214272.691110424	151515.615836008	289378.580851803	223434.249235467	250144.428222396	391636.413447626	386905.256497969	330140.085933408	361163.248045745	343853.210692919	481884.310678686	479942.670034895	509310.051676325	448811.67301105	574863.862453548	314951.719213147	275538.423689322	223596.688092102	319528.278632156	475150.438956679	432387.567550328	399151.07539772	340813.931761285	411069.38361002	451918.0167899
"sp|Q9D1K2|VATF_MOUSE"	493553.308085755	535200.718689914	510373.694818871	414913.655740408	467851.427492268	482885.797196457	590064.487765127	517991.329958205	519648.546194755	518539.344733313	372841.284376679	404251.085423778	315365.909368808	379636.117500234	356341.39564194	440555.768370077	439086.802426274	433565.321826019	432832.556974804	415829.215658003	421524.170874314	440900.598259342	392474.877513706	443523.80345765	369712.082077002	415047.397235543	406009.423083346	421841.326220217	468588.738324218	492642.728347406	473495.267760762	384288.774983353	436889.859504833	445857.262573516	398363.22079106	402702.036910249	391728.079604967	348451.935849079	358863.449552269	393655.036833605
"sp|Q3UMB9|WASC4_MOUSE"	369053.127406565	347473.877814559	309131.963565567	501215.570578674	367375.859364865	388975.473177924	364247.849337272	343811.7062553	345700.286279504	391024.036555187	438810.33390034	370157.281330073	473839.24051822	453094.790937085	434076.383907905	412816.701058509	426763.943391085	397639.349465835	432868.894744041	326888.535162338	381251.317501609	346736.900561196	339970.785407211	327929.557990948	385220.274235807	402969.09268905	398909.692848447	464673.959874209	364247.846177968	369149.327269995	319508.79381195	341683.63394846	332528.620775942	354607.621407091	287443.302832703	342517.392691006	380927.758057529	398210.514909108	368568.7185552	372229.801681366
"sp|Q91WK5|GCSH_MOUSE"	592968.698796638	552428.151893766	365264.223352093	473390.260649176	491149.228803967	389315.756564329	356055.534615215	415282.044373877	468748.202922409	416990.946860034	506201.805716981	457344.632238649	395078.985757458	393421.279433799	310335.857425508	341177.078564954	404695.061078362	476480.519625824	406130.990385594	391215.624722361	495042.901421426	406861.31591693	330452.027413938	323367.070443499	313327.824051382	504000.008961595	393856.968433668	635754.181737177	627514.986181025	628772.902471261	232296.677451057	381849.415524632	318349.612173362	299881.317931017	352131.194120618	288330.104822472	317261.098514535	345970.021477301	404978.769725896	328509.611473515
"sp|Q9D0I6|WSDU1_MOUSE"	8505.92538348129	6859.45323863978	63013.436570432	44451.6364111484	33803.574273845	39202.6187711694	11657.6561094131	87533.3594510016	63969.1209714811	31194.7530520902	485908.977774313	757531.320638012	367289.463244353	395314.068531422	560547.845927384	524998.581823924	667806.666718442	541667.496944745	436495.977868092	751725.302955188	17304.887648709	20951.5552742679	12045.5849375049	104188.026598079	78390.529387066	634608.582183605	331653.001400502	884872.671482367	511023.759879349	775746.54213756	783621.613606986	553469.122691756	447617.760708058	509722.177373216	569757.565129313	11550.0086767792	10916.2899619063	21343.0242103259	68038.5187280987	42634.8457969989
