"accessions"	"AJ_F1_1_tmm"	"AJ_F2_2_tmm"	"AJ_M1_3_tmm"	"AJ_M2_4_tmm"	"AJ_F1_4_tmm"	"NOD_M1_1_tmm"	"NOD_M2_2_tmm"	"NOD_F1_3_tmm"	"NOD_F2_4_tmm"	"NOD_M1_4_tmm"	"C_F1_1_tmm"	"C_F2_2_tmm"	"C_M1_3_tmm"	"C_F2_3_tmm"	"C_M2_4_tmm"	"P_M1_1_tmm"	"P_M2_2_tmm"	"P_F1_3_tmm"	"P_M2_3_tmm"	"P_F2_4_tmm"	"NZO_F1_1_tmm"	"NZO_F2_2_tmm"	"NZO_M1_2_tmm"	"NZO_M1_3_tmm"	"NZO_M2_4_tmm"	"WSB_M1_1_tmm"	"WSB_M2_2_tmm"	"WSB_F1_2_tmm"	"WSB_F1_3_tmm"	"WSB_F2_4_tmm"	"B_F1_1_tmm"	"B_M2_1_tmm"	"B_F2_2_tmm"	"B_M1_3_tmm"	"B_M2_4_tmm"	"129_M1_1_tmm"	"129_F2_1_tmm"	"129_M2_2_tmm"	"129_F1_3_tmm"	"129_F2_4_tmm"
"sp|O09167|RL21_MOUSE"	7466980.91708317	8046637.39594475	8349249.69901105	8370072.36079503	8067524.53717568	8361555.81221067	5952733.35948778	7807498.70535086	6123721.46292867	8087770.34500325	7989852.15578129	8122851.33798688	9128164.19121903	8259072.38234187	8798920.39075913	9395499.47898884	8639041.58715104	8734781.21017979	9083102.59294155	8344653.83059519	7821125.79313896	8595298.72922633	8998775.77369332	8228083.94661652	8978933.58506536	8851409.77419499	9103146.33922758	8124988.10304288	7490876.616549	7887852.98158216	7397987.1395947	7059886.95386608	8070422.95431063	7242946.03754381	7836144.29511383	9006099.79710922	7076927.73317764	7488600.86205442	6904771.42508421	7482081.68365002
"sp|P48678|LMNA_MOUSE"	9529696.72097641	9914939.89005603	8501803.22261921	8780511.13149654	9209136.10288743	7467671.79559962	11361362.7864455	7839241.42234526	14737839.3876677	7331369.05025421	8832296.14172984	9269284.39624727	6926221.9083183	8769636.9446405	7231931.89649082	7660624.1265677	7712396.71284359	8547387.33815645	7180594.69674017	7733613.20604463	8556433.06657764	8192160.21437776	7324803.9038671	7408731.61075479	6995340.6644211	6560383.40061869	7782377.22584696	7756665.45290395	7765013.92232462	6553080.10168929	8908754.47723434	7544405.85336875	7701359.91034428	8974325.04179016	7963461.79907264	7615092.24929576	9899009.94385801	7318852.92977457	10148241.6469371	9789013.21149757
"sp|P97501|FMO3_MOUSE"	25186955.115156	19799316.8702211	1043684.30506664	799228.004425059	12301608.715124	272665.625376036	6077607.27915584	12796007.8621694	17465176.749399	946759.38453546	1195869.30521868	4580065.67837261	1211516.02476221	3240294.44426944	819099.817207172	3611372.54283279	1979234.77756459	17262970.654207	1487015.14895197	15416125.951981	16004092.6766345	14500315.0700468	1367973.42973555	1335042.03575501	964262.390435346	318125.514727286	7268671.19288261	28543539.1964091	20087254.2088749	24552155.910168	12320522.7029396	459689.526120983	1840622.08730999	13929122.1551089	1566933.49250813	664406.256755245	24781731.9814793	1929796.37807889	10372541.3017905	15106130.9557027
"sp|Q8VBT2|SDHL_MOUSE"	4494511.18457523	4847511.60268401	4859963.90544177	4604851.90496342	4347705.95582133	5325254.49909429	14015709.2453088	9211744.22207527	17849954.3782428	4822720.17821566	9821963.81078069	10334275.0533131	5447289.7963884	9253472.7570269	7511721.48481453	13804616.6944944	9983220.13650925	11388578.6949128	9027382.44884576	13842844.080667	6843675.96064989	7593986.97900129	7492006.55647012	6987381.2926396	7762310.61313673	7047441.90613207	7253847.3911069	7075900.2128712	7233791.15363311	7699853.90659542	6861971.25105847	4175850.79894086	4833651.52941632	6640344.58193493	4799410.09252316	7215466.25266653	7534361.07497993	5812121.16686301	6419977.56954958	7801816.7188742
"sp|Q9JIY2|HAKAI_MOUSE"	9829631.73514075	11108239.7044653	10830407.3394051	10434767.8385509	8458415.3390351	7693785.6673868	6726480.84382842	7497025.8590456	4107480.62296923	10291122.9905705	5681218.12144446	7906150.34727762	5516571.23339933	6862289.31974495	5580068.9269695	8890665.84708507	6421987.55461658	10565343.0942226	6480292.2517578	9017399.94371131	9098850.5317138	9643000.19360813	6854513.25547234	9533233.01306457	8189283.00718421	3216660.09051624	5012437.63666648	5056044.17659818	4993593.77642058	4969851.51945013	12600637.6291191	9893317.67016407	14652427.6972004	13413613.963363	13598294.7787419	9634454.28795923	10588603.9132911	11460807.1413976	9502080.40204236	10956962.4426378
"sp|Q8CGC7|SYEP_MOUSE"	8160355.38901182	7965979.7203103	8526142.72945611	9362046.08209274	8240872.68626686	8715688.23927804	7377447.54546535	8688039.66388675	7000653.41897921	8462506.81231015	8140767.7885171	7246919.37772105	8217092.87013345	7253095.60120445	7655085.50018613	9232453.70894835	9773440.69366075	8327330.27714768	9958209.78935013	8389178.54039608	8456403.38188749	8278804.67858893	8926883.86238428	9698104.16542517	9990414.26446136	9292823.79537214	9298575.13569217	8468781.10865987	8986325.28361677	8841691.07848492	7943934.08701056	10091334.5525827	8867960.80035283	8206618.47192615	9276501.22358708	7227166.88690004	6834672.76715413	7797996.06088814	6688519.81255726	6466756.43104525
"sp|P16332|MUTA_MOUSE"	8298965.8252736	7791174.17507052	8315464.91893425	7804411.38314589	6963067.27545711	7802015.51083672	10898924.3672678	9687517.36138928	17204108.9623024	7044349.71446609	6985033.80465027	7732671.15809084	5831442.20750579	7213082.22023292	5899601.85190823	10347745.0229094	8972491.69601188	10267655.0223365	8423244.08511938	10125650.1309292	7299549.32066257	7642293.0717671	8339281.00788428	8268556.37530364	7978414.78532128	7431031.09288601	6736851.10664504	7610760.26025138	8017123.11470265	7935717.16484481	7875209.55777974	7266323.88402617	8202618.21468344	7929380.47940609	7206324.16121901	9271276.60206827	8546396.06544048	8692684.03843864	7496860.59140137	8946290.73449686
"sp|Q923D2|BLVRB_MOUSE"	5387108.28062441	5045417.11107179	4774771.54530314	4352036.59473325	5119724.89195931	8774792.99767495	8260072.42941954	6211312.80885944	7369232.55245148	7935464.88063679	3646654.31163528	4640157.49055817	5517526.90494236	5193989.82382571	5200478.5066725	5188672.88290203	4430639.32227702	5002890.39809963	5452768.19480101	5616206.77900274	5699892.50782517	6304488.99617824	7747809.67521797	6789382.60205975	6433540.51225729	4164713.69863602	4236034.33576494	6026462.48800858	6358958.90136479	4692025.87308327	7118178.55454596	10837043.2328476	10987824.7915134	8293699.69413591	11624650.8825667	7813583.9438321	11146358.0717427	8063494.06998805	12102891.1055553	10400790.4923299
"sp|P50431|GLYC_MOUSE"	10880674.3448633	10840994.9065799	10288937.5903549	9413571.99971838	9427335.96963575	6799314.78522528	5819317.71607455	8039516.51709979	4788985.13234585	6247508.02117714	8460712.6198828	8909660.19276939	7025289.70838254	7940558.20636982	7682072.60708744	8838330.61724865	6991997.5844935	10510018.2079525	6746984.70275512	11048146.2458738	13004057.6452069	13098679.4860553	12121293.8414932	11548010.1622757	11861986.3709097	4553532.4763752	6603619.02796767	9104769.51879644	9139824.64166495	8267062.96544482	9558244.72684816	7047353.55502088	8310337.17546414	8410885.04939813	7081785.68670241	7238628.77450282	10054299.7889652	7826360.20906071	7600735.10776659	9528173.5860052
"sp|O55125|NIPS1_MOUSE"	10112312.9356716	9275703.81025444	9874089.25792666	9889920.66748665	10666723.7973041	9782596.00142515	11554283.0076382	11258301.1245172	10721638.8023214	9173473.84599986	8229082.9533938	8193276.2201532	6721975.14016169	8397276.0785049	6590228.41884208	9896142.57117698	7602697.96441564	10248732.8990622	7265989.41070296	8305326.85006615	7739497.4246535	7051382.83277876	7390187.44389789	7680790.59975865	7794194.90206018	7395631.00895408	7574852.15638866	9316096.81447117	9223623.43987243	8843783.60639829	6990453.32419904	6064993.94817895	6974731.6339246	6622763.76823229	5889219.66167232	8989123.16973548	8245614.68898194	10115133.526064	7376762.9457487	7743370.09699288
"sp|Q8VCR7|ABHEB_MOUSE"	7202573.30080927	7259943.25202768	13185357.2918883	11370227.7442785	7193250.44028287	8927030.85310927	7083310.3857733	7376046.81117903	4316326.47957684	8968148.85360672	4178231.57558031	3950150.4354184	6361065.68694018	4037258.96115724	5790643.39178664	10781701.5002118	9944055.72306392	7266642.83844772	8919083.46517897	9501004.2671302	7545638.03917053	7564375.39518692	8607540.5859469	8851889.29102345	8669941.20937366	5237833.34933502	5739579.59299115	5511537.9916515	5784060.88398884	7649020.6911899	10286789.0082654	12039956.9992099	13003068.1402018	10983474.8817116	10881736.4647787	10056968.1965662	7312500.27363411	11573640.6851611	8414099.32556519	7328156.7361962
"sp|P35980|RL18_MOUSE"	7877539.98235661	8472492.3950757	8122214.79189421	8552027.15037419	7858442.66996313	8151647.32024563	6842338.68383073	7187929.21473752	6883996.19120597	8027502.32489781	8161193.53458199	8353325.73507843	9240340.65094752	8440113.09557066	9109006.14489488	8255459.30667838	8696790.62869051	7770935.80843184	9486749.22741987	7848931.0280695	7793635.4283755	7439170.68372833	8145258.45459113	8233970.27003624	8520898.96666827	9084012.37921944	9191925.13569263	6786871.41546789	7759641.31165542	7619046.26149383	7539282.48114258	7645925.28204551	7585933.54554603	7435944.63801426	7782081.92649525	8679428.82778465	7419769.02248353	8520403.81324342	7267547.84937848	7877041.81618678
"sp|P47963|RL13_MOUSE"	7240810.29096169	7416831.38263669	7473570.91874517	7878870.84136982	7046444.66431111	7886227.26517838	5771319.31011291	6345548.0124934	5198764.29469959	7260135.28733756	7583292.32119173	8075742.9513447	9090127.32384048	7865119.47692941	8864590.78110116	8130439.85311138	8257097.91115944	7202341.76237327	8042177.54919318	7041217.93645525	6597463.34079839	7372138.66596831	7882540.12826518	7566685.54206191	7630727.31061852	7346933.90516336	7926824.79413726	7156345.10216179	6683065.78772972	6803305.9395887	6615020.25507111	6346750.48445977	6600095.55993964	6614973.82206941	6983735.30973887	7779023.06353942	6652860.74220476	6721708.85571251	6182607.37448653	6802510.61329157
"sp|Q9DBG6|RPN2_MOUSE"	7241258.95085178	6616488.48355733	7489174.10968896	7888117.82542543	6332281.79000306	6606571.37086489	4563588.12748228	5648031.44620396	3588104.76728751	6324451.29325146	6816639.43884291	6460186.90785426	7529433.04653752	6596790.29066038	8019802.47022799	7016337.74636696	10322772.0528414	7379190.68218326	7016864.35861731	7028183.08324519	6885728.66665608	5969499.73211073	5983092.11061867	6552525.19483138	6775104.77735241	6873093.69866324	7791097.16254772	6094193.70104537	6657763.51567612	6813052.2636301	6824581.61526847	6570275.95410522	5847931.57904066	6134875.11509092	6510521.00535181	6118801.53598102	5593472.99976986	6660640.80768415	5745521.13187767	5979070.53841902
