"accessions"	"CC001_F_1_tmm"	"CC001_F_2_tmm"	"CC001_F_3_tmm"	"CC001_M_1_tmm"	"CC001_M_2_tmm"	"CC001_M_3_tmm"	"CC003_F_1_tmm"	"CC003_F_2_tmm"	"CC003_F_3_tmm"	"CC003_M_1_tmm"	"CC003_M_2_tmm"	"CC003_M_3_tmm"	"CC004_F_1_tmm"	"CC004_F_2_tmm"	"CC004_F_3_tmm"	"CC004_M_1_tmm"	"CC004_M_2_tmm"	"CC004_M_3_tmm"	"CC017_F_1_tmm"	"CC017_F_2_tmm"	"CC017_F_3_tmm"	"CC017_M_1_tmm"	"CC017_M_2_tmm"	"CC017_M_3_tmm"
"sp|Q6AW69|CGNL1_MOUSE"	937976.702947443	781306.169021015	922711.86139824	854227.302516597	670727.139145052	1056554.48476443	925173.895926619	1175196.68986689	750788.244972639	976688.737600543	749123.618222178	749569.409071054	1047964.82089076	1301141.66592036	922074.659223943	943665.343457499	890238.934930165	1111233.84733621	1074240.56299039	1174520.52689215	1020159.56266254	840029.768367094	1005118.07832622	948791.746834878
"sp|Q6R0H7|GNAS1_MOUSE"	1084332.22767543	998363.534520347	1040979.67078049	943057.47679728	935398.304858363	999554.249243523	811465.040378924	935550.852854671	814772.033851848	1021742.92513271	1034920.79276788	949214.612576377	980842.176826734	1025646.12242283	948097.966108697	903977.595006667	895327.789527904	896549.967242729	985716.945978863	953681.020463892	1017146.013699	951886.071740417	864303.809822681	899936.786480634
"sp|Q91XD7|CREL1_MOUSE"	1208437.17869927	1049584.30397048	950636.843186359	830238.693545709	842951.398077551	854034.894530726	961871.340706574	911222.230037855	1039310.53608921	1374230.94527382	1336962.54132748	1128490.5254701	841174.284323061	950934.501707612	847751.785208811	684083.36516207	767341.671082979	700767.209183096	982848.511270335	976425.429153142	1225388.92470816	960707.296215382	875809.30646936	924438.968431998
"sp|Q9CQI7|RU2B_MOUSE"	841722.850325923	908543.826205104	843824.553334244	838057.618234519	893493.121097672	1043304.93414289	886297.845287839	973545.514668822	977456.449616253	941851.364690437	924529.180592061	892738.826987164	882685.550797664	774075.863364641	895831.73754873	941345.995239579	979199.03343315	891871.209913535	1086931.40797599	888586.787542693	889574.235970229	874777.549503764	890173.521656937	834902.123721446
"sp|P57746|VATD_MOUSE"	940761.222430187	911627.10704977	875486.070685774	960803.633927365	989737.375242706	1017543.54447226	985768.589011432	834887.413682672	1008960.654258	839814.525630654	832838.62115012	900531.523314619	795426.54133331	885901.357927593	847869.958881772	1008738.53003192	980536.860573873	950521.93969371	815247.218837789	822381.483421332	822241.126408405	929294.404556642	1025445.41726212	906016.207383037
"sp|Q9R269|PEPL_MOUSE"	838520.160956195	921685.142896083	971505.94450211	1164303.96902961	1347184.95639607	1540721.0682576	706793.496105539	1107323.26593937	517666.031426139	648563.317708079	368458.094866968	423165.084903448	1230645.62415767	883988.229727609	1254559.94834799	1253293.27530079	1097174.54820348	1226563.53761568	690549.453002045	1087034.52018409	833705.106096746	771846.716927283	643471.2839284	627871.921983026
"sp|Q9Z2U2|ZN292_MOUSE"	1076007.20317243	856930.639192919	932139.796073348	1061643.9725813	903306.934013407	922882.401735149	878279.759637222	1085006.13145267	842799.362558262	1038428.24712556	774665.694499643	807519.414409107	976386.443132691	1104698.36875651	1044498.40127332	914265.026618406	948308.103437296	983746.099541444	788216.339336167	1080929.05373555	1091779.27868431	875684.988915144	1000072.05217522	990710.973330979
"sp|Q9JIK9|RT34_MOUSE"	932607.401598562	916417.404289347	864028.637437044	937624.936560484	731341.803249824	891424.123264163	1054362.7396023	944789.074020997	1068914.97571989	960512.812891288	993788.71589055	1059010.14631483	748593.207921223	951535.276822485	826778.572719913	876890.560086755	870957.906741128	848787.186761332	781497.656696728	934070.179768848	910102.557358786	1083214.59521813	1166435.74463195	967115.239754309
"sp|Q8BVW0|GANC_MOUSE"	688443.416198614	654764.585845797	645757.548975855	756880.3684836	784331.914236318	804518.356293062	339210.528917081	1373052.74403746	333619.689915074	447203.320912793	415827.817559865	355473.52325979	2023941.62744045	1714816.50237861	1936021.50579018	882939.670979437	760446.11091239	863177.339981376	1756791.12591596	1355242.116763	1703081.67097571	573889.901438887	578205.168040802	551666.085172433
"sp|Q9ERF3|SKI8_MOUSE"	913287.952819878	923978.916979009	946712.763200303	874024.671803043	931188.271891795	841725.769426487	1064665.87765208	947275.349902172	980058.079982795	983354.671340834	1001210.26194519	1079071.24086231	892901.865786982	935197.446625807	869254.164764245	948672.062016844	1012619.15463626	961658.01261525	933351.435091848	941283.462326149	916853.424014791	1064860.2928131	990387.819846002	1066070.52426962
"sp|Q91W89|MA2C1_MOUSE"	880975.719670299	959313.315458884	924424.639543825	943126.202977776	1020970.31737994	1104500.5123882	890390.71476366	930559.224806788	898698.255929187	1032968.2905009	979298.508331302	751590.516791237	942018.682501226	899429.471681786	1003054.99874415	916890.722922651	881916.097016498	1027054.85761426	964920.259585374	846063.358435719	920400.106193832	938459.145482743	987861.325380491	875646.175997258
"sp|Q9CQD1|RAB5A_MOUSE"	977476.538507426	1006072.67095954	904186.108506253	960077.251065808	1155609.26173806	1088068.14384921	902237.32764827	886210.040322763	1044929.1676007	962602.552387406	911890.245607417	839448.343746093	866025.213843246	830557.873022308	852686.843285854	831645.070941109	794190.613420749	825218.493299318	962791.928090232	892598.145186246	985050.317089398	886248.616198615	844416.120711097	800129.199843097
"sp|Q9WV98|TIM9_MOUSE"	1099567.38656971	876884.137895554	890911.599448325	1030207.56029628	1075597.30795197	665846.344263464	619987.229518118	986906.333097624	1053961.62769723	919114.738220864	796198.965720496	1149067.414024	882224.575948377	932690.659090652	879489.259784381	688429.868208641	972382.111154742	605709.422263212	881749.556711131	1058561.15061901	862043.021314706	1243674.50513866	615192.450206165	1230521.7173985
"sp|Q60770|STXB3_MOUSE"	862605.762517356	951166.913736264	930954.247401628	1040372.69105466	968608.298951021	1054104.15383323	778492.337456137	946491.102608024	803099.002378305	822337.635646854	861900.40084103	756389.047202005	1136704.08369947	1143392.96223813	1186600.67433261	974878.472569795	981728.224640409	968265.829421401	1135893.72749741	969890.290638909	1099176.3674197	868320.234480109	808794.538113114	827443.978797799
"tr|Q6P8N9|Q6P8N9_MOUSE"	1817621.16648341	1871307.61322743	1923920.6322664	2185710.34891891	2019846.49265392	2168864.70861519	86839.9746585273	86160.1631984792	48970.1750070019	132788.789880108	138931.378711125	110509.780403365	194683.262103813	239026.155982844	207522.381783068	1557637.46094231	1452276.72900258	1661235.4486892	87912.9249091483	94560.4053653341	75670.4514227278	1402309.60801529	1468422.4557436	1144871.37036529
"sp|P10711|TCEA1_MOUSE"	934557.549165628	1006825.73894766	1022802.21467341	979502.441651719	951709.516676149	946634.415550468	929476.997319598	876533.06458917	919372.22382411	811681.267975696	819328.445294564	868284.338101333	976907.31262597	1002746.5268006	972429.193322195	1030931.07291916	1070882.95192654	1050302.2106468	1015659.04072158	991613.685656916	959490.079776008	882038.057616923	902160.444808067	839564.7176842
"sp|P16125|LDHB_MOUSE"	782002.286889662	723308.722005314	984273.318131457	1302851.71960742	923512.532962374	1122252.61140313	1326405.50156898	406937.442583865	1032110.15781887	1296472.89338128	862273.397981988	946352.138746435	546697.988952567	3192063.55053344	859072.404764648	707316.278283068	458465.792228613	825205.273598105	404772.286923392	434524.321944533	757079.323033323	646671.704906615	504819.455963453	626700.758596253
"sp|P28659|CELF1_MOUSE"	899276.801783032	942740.213755039	955753.16985923	924103.853542161	852114.724643335	885705.291201726	942931.840017746	981763.154559116	961391.428461203	869428.481056925	941964.054305778	904421.012515496	950901.27211453	957685.343565261	951301.204695259	987940.224804887	927994.952913388	969894.90337084	1022964.88617048	1031782.59864636	916030.567900371	955070.052257154	1004990.75892008	1027949.5571135
"sp|Q8C0D5|EFL1_MOUSE"	804740.88945016	871325.823427396	836934.209520639	770181.527724333	734079.177774945	735896.551212792	981689.912407656	895338.042950452	913292.790355323	919883.95605678	985788.475742223	996033.892999343	952153.71190227	957270.595262608	937110.951877415	904463.909955586	927859.302549376	919632.582460154	992211.030822333	908720.61292375	943312.98705533	931006.02987964	1006432.05438486	954547.292930836
"sp|P36371|TAP2_MOUSE"	831309.928175436	872911.377243578	772919.36554425	858287.433795167	1311285.57447623	1168270.76671643	1241914.44723381	622117.943399609	996735.95846938	1043077.07937361	901708.703551433	791474.013978969	701849.716475122	780820.605982546	784972.282894125	1077828.61742143	1073650.02275765	1211535.78803715	615698.494198511	656306.71985027	659423.319433019	724463.288757086	787352.159690665	866718.060589869
"sp|Q9JKW0|AR6P1_MOUSE"	1416639.53774769	1167774.8676943	891485.71502785	1082272.39998883	878862.510079104	917159.390003747	956188.869561774	774655.101904884	787937.041799523	1170889.23473177	1336485.32439714	918697.715058379	675406.231153106	661139.29062816	688244.517113241	717567.312102372	905693.246690962	802840.589846538	852804.248377195	765429.319138819	1299072.24323677	848486.627126548	1030495.42214456	1212396.76073813
"sp|Q6PFD9|NUP98_MOUSE"	924011.796580452	819806.06916808	976256.750922683	844394.172076309	900866.010644493	949499.578626514	967752.512059997	1064610.40283664	896640.872542389	944533.383295081	918691.958177815	878548.090112017	958649.072133649	1046867.41057526	887098.389381451	975406.240560098	920034.832277404	958420.202718237	957594.093383502	952311.71201213	943026.495266801	884588.617625498	853385.17606366	955963.117162106
"sp|Q8CEE7|RDH13_MOUSE"	953147.90644724	897593.507568895	955855.553804246	940749.334458446	896427.77426991	857966.918110289	846481.516876114	1017010.83125647	939078.229458637	926938.223740868	883292.883925346	920970.318083109	907727.929269177	928749.533675488	896160.113949703	866813.426831305	879461.61180681	873503.960428662	1048389.35667426	1017474.30185287	961139.023115246	993549.851716998	996553.858897853	1002160.90031177
"sp|Q8K363|DDX18_MOUSE"	846293.201208377	1055180.92586732	1009769.79101818	797743.898081046	440530.683608075	208175.727261649	980700.846637058	975329.147366186	933064.624840892	825078.323408474	927719.768881132	991305.781273848	720980.707494168	826577.102548802	980170.09179354	710197.770184144	743215.565761963	824217.863607527	786669.823083918	586351.550428364	435608.610384208	820382.811570798	1005604.47824497	1171122.27572978
"sp|Q921J2|RHEB_MOUSE"	1022901.59538369	941273.319535001	1012542.76926729	962612.718463207	951094.220571359	961418.949599694	955291.170404962	966101.524136268	971789.605425126	1018329.87020701	951087.85692037	973101.179338121	936396.072796573	960743.095757372	930904.219585138	923931.673659177	893419.837668871	897306.540912131	832419.324609651	1087693.13367872	938581.564397411	936177.64026682	899234.087832661	889701.139346917
"sp|Q61112|CAB45_MOUSE"	725797.302291507	749815.593994157	669064.72778599	634205.193622958	1039910.13387417	776641.009208513	808069.395742288	981087.006216324	1156351.45174153	1432085.25284794	989223.157748538	919701.867219809	947328.984419354	1053261.44690784	1130112.61287223	851074.414752686	616276.314256693	780397.604787788	1088834.07216185	916099.905142794	1054711.98021062	657456.731521308	763641.90434642	695653.002992532
"sp|P55937|GOGA3_MOUSE"	956876.997909996	1051389.42475591	996599.579623869	862114.953385903	870415.784869331	934734.898004876	986104.782667986	913684.130665293	1008207.79472213	1076416.06063966	1050472.39660323	870997.743805307	897670.976814764	912422.885418342	929280.115920453	859379.177726527	842792.762682985	923639.168827688	923936.509387457	859710.871673644	903690.957294459	870283.043797723	931800.999366241	857024.878689238
"sp|Q99J56|DERL1_MOUSE"	1032160.3686461	927371.46023567	919033.694252081	828976.246476279	939301.222958068	902885.820485589	1050295.59470706	965674.42729905	992164.098406152	1111096.9824645	1034791.88934417	1088927.11321543	974371.41618128	1019166.69673383	947963.059880272	877525.499354782	910984.593861066	865195.886666542	772870.962304859	964984.867888976	999574.158323642	988085.358806451	886244.524358209	879707.144932559
"sp|P08775|RPB1_MOUSE"	898336.165519604	974733.45699233	991267.002749377	974417.761620821	892522.723428073	854034.894530726	943897.842371272	951656.536812989	975537.214099952	880685.509144748	918828.175270958	981908.087639188	933937.1837513	945961.588235602	944534.977579668	1016200.07748103	1040394.05815446	985385.342491816	961706.372076378	922832.519202368	862337.052360827	949635.344010001	972429.815483665	993789.288054775
"sp|Q9EST4|PSMG2_MOUSE"	1039517.20686959	938795.482928923	897569.426452222	940567.474411594	962207.93981593	942920.779674367	1142315.96766182	858951.088089302	1121222.95162481	1034279.4995965	1077362.93068195	1156681.77731732	885836.436890475	921390.800923264	851962.114477337	795322.096190904	874637.177121529	785936.659595899	791906.160269957	937611.719219364	887079.818743792	895100.618159086	972398.980314992	908603.195001081
"sp|Q8R395|COMD5_MOUSE"	950840.592600232	918963.446805018	908057.561230853	931019.82195183	976145.409641928	993180.2540707	850827.196885227	855694.34223131	787492.001679801	879368.712510385	834860.850747663	806245.476375526	996920.680096669	1046078.57556826	1032236.57547266	1076295.86594001	1042879.01554737	1032244.09879028	884152.753128008	945423.938595502	1000925.83950636	988390.155195175	973570.716724587	968451.850023632
"sp|Q8K021|SCAM1_MOUSE"	946566.404390677	964422.218385743	958745.268887857	815909.813575087	854153.626120558	805442.063134501	774308.10136653	762811.90796962	716639.760286215	961236.399160665	935385.408653011	853933.558759656	800438.439578698	763247.679737525	786362.130782319	728201.533792031	790890.770870119	760408.399654129	931939.677517181	794411.567993821	945183.799975158	876010.634568244	910955.430660055	859290.999625974
"sp|P62774|MTPN_MOUSE"	791924.228396371	518683.518602687	757740.706480896	946462.066046497	1118382.24784169	732746.125729831	460292.581491872	842789.235068025	1104533.94713523	749883.089293704	490775.559257953	1007756.3177764	885161.552598363	1063689.1137917	1062552.82861854	959111.151097061	1184837.12148549	653330.853631643	1017554.21831424	957914.809353571	660521.896967979	926624.705894494	449732.924469571	796776.143023431
"sp|Q9DCE9|IRGM3_MOUSE"	1025288.60749151	1075221.31703012	780488.122600994	854839.494185944	1178563.96529387	923539.654680019	1161154.34413733	600943.266457635	945056.60173357	830542.005058975	696497.195626083	935854.267470428	590616.806206165	550762.365504623	547681.639156608	979514.135856264	1109619.97761472	1298585.48672243	522244.420808794	587953.055400472	507051.69237094	869364.683343098	939286.982573892	987740.951112124
"sp|Q9EQS3|MYCBP_MOUSE"	913820.25848778	636818.957002311	924115.57399018	880671.022119995	902065.678093173	729097.2747227	836653.840039829	981649.756639557	1115499.5502518	983107.888378949	935343.355053786	1221588.60004335	1067188.86251744	1208771.72960369	1026453.38599056	945480.177830282	1198485.71064709	769295.089569327	872116.450290655	1040589.79096249	819857.643972262	1024281.66740615	554093.060820939	928406.685488044
"sp|P47955|RLA1_MOUSE"	514933.414903568	494142.471734201	408765.508325638	312874.350722155	549954.217751541	411098.655550547	255020.186058354	291479.284187143	512854.035131644	546436.14677168	312651.140277269	493367.941479061	347847.770902525	582860.631202128	373367.105260474	484399.009566814	265756.756624424	325075.503519974	492827.457103321	329609.47081441	343628.590714528	394697.423888234	492680.346334676	442219.462886735
"sp|Q8JZN7|MIRO2_MOUSE"	1047552.95620372	1013559.43744691	1003133.97177817	1009923.82111709	1040796.28822959	970850.372620989	832574.276381549	1010093.55816336	861146.141493805	928136.750804818	900634.508353823	916053.813511298	948817.794141416	853883.398886729	943673.250973293	820798.528795582	763994.645797041	818774.397408185	941558.880264573	1017306.12213019	927915.668977114	883665.293060307	825806.599075174	901687.51531052
"sp|Q3UMU9|HDGR2_MOUSE"	867379.786733001	828354.231728035	832829.283127032	919638.766461587	827000.619679902	954458.755854419	874803.393040833	999653.531008439	914950.564801288	867775.500840522	916198.911110681	928853.552720202	979290.263819039	978556.941972317	984734.942080951	933791.431209809	965263.415965091	942336.910842877	1117746.22558305	946129.208400292	935732.80206411	881714.39760805	1001254.73009628	930390.042661878
"sp|Q99LG2|TNPO2_MOUSE"	936837.312996553	969870.282205516	996285.729773729	963477.611011611	928067.003783096	1008033.75265786	1039806.17521171	919462.125594605	871163.252855216	895531.599629201	817532.939449367	858144.961950353	824169.553165694	937250.857339924	870203.737286804	921143.198338766	899505.42755	934631.858836074	855444.876749811	1058267.10736194	874246.925283947	936795.175621174	923511.312407356	944671.61810521
"sp|Q91YJ5|IF2M_MOUSE"	611939.973321659	594947.068804214	581950.343467394	589360.832185976	544677.81371948	550628.544635373	953294.410719207	994617.391627645	1069677.10692491	1191214.83822654	1133304.27394744	1024878.11811	954325.962294157	938396.497872008	953136.556872671	974754.113445643	1030330.37390265	1041932.10597899	1096226.5481892	1107479.74930973	1162798.00817224	1112633.90007375	1194834.9349803	1139136.8811453
"sp|Q9D883|U2AF1_MOUSE"	832700.220058517	715120.275543903	749350.007286131	662944.367654944	674960.632275061	678336.240050474	687931.169158453	744933.189250345	831921.840298722	907345.519080071	699653.043985359	833486.533235744	651321.097438234	749409.5212963	714054.483915834	743790.910501751	873492.995790301	753296.200401709	745596.233767613	733341.713081802	673579.891118811	812540.509699357	778960.020397155	751153.914483363
"sp|Q5SSW2|PSME4_MOUSE"	883069.520892659	804875.515259666	828904.246281676	888671.806855657	915795.205561399	858149.778627542	1010167.91016486	1015249.45422556	1008249.51723336	1028295.24558489	1054367.83978367	1132071.81860686	824497.90416043	862631.741760834	832202.01225955	871954.6150127	861531.189415975	842655.279198837	920186.795708076	1010045.09823226	976382.324931208	1017515.58470531	904551.662404559	928319.449859064
"sp|Q8BHG2|CZIB_MOUSE"	777828.459452983	738902.648459095	837694.91266351	919908.384554305	1057905.14560437	938001.309301637	1079368.80603564	947083.527253198	1106847.22859087	902159.351854634	904830.726189593	988671.939538949	900358.748963859	923104.687291581	880565.372257634	858515.741205993	909517.014198245	861985.533072048	950389.851699443	1027712.64935749	925367.399910727	968430.45943325	944146.008347129	932070.581905227
"sp|P61164|ACTZ_MOUSE"	799501.466748531	814159.927912227	797416.877322602	787547.047547053	831474.046299646	769710.073145999	831218.857101304	916338.913735345	950546.357043725	954219.381734975	926826.587001927	873241.081921872	976762.923752063	914317.715899092	964056.640882099	800997.11866134	851919.673044198	847799.776770754	1134480.90040943	849934.747148782	916937.432885112	725651.696826476	871773.878104566	884996.431632242
"sp|Q60823|AKT2_MOUSE"	839561.1579925	869248.813331126	836602.179343814	858246.198086869	965529.685684942	969775.152779541	839662.728913254	871909.184934624	929527.483056018	967955.414519173	1020498.23665086	810512.665797414	1075021.15676647	980797.396038611	1033675.57524253	931416.475253448	876107.705705307	1012358.61746614	1104725.97049669	847316.568627307	947739.608299137	853023.824183452	1014798.331924	936619.869821144
"sp|P61759|PFD3_MOUSE"	949873.390249865	1004675.85130415	897076.643913129	1045849.63897732	1079814.80551599	1006973.16165779	923734.206468609	899410.829911813	1104596.06731861	864313.089322444	801876.201615949	806657.014146604	813958.585912447	820196.281235677	899595.516743322	937792.155228251	910021.279681854	952886.232410593	944329.989261515	976141.151170288	887808.972656701	929291.426090303	964022.755947249	935131.850586579
"sp|Q4PJX1|ODR4_MOUSE"	960967.191369278	1057319.60158048	954671.918851124	939854.836786136	990154.326329314	974161.715359133	817567.975358042	932955.4182285	899080.248698615	1021225.14654098	1012829.85425295	812061.876873427	976153.281840012	918895.195327641	935596.65560796	763544.80129587	763561.154416395	835876.623177014	1175050.74895477	886490.508676763	1145927.30375302	819877.465115226	865617.785881319	830739.881239857
"sp|Q8K224|NAT10_MOUSE"	1076185.29434783	1109462.55230143	1002672.76559595	907839.009933242	830935.528911572	780435.103712205	914776.73009955	936732.522764095	997898.625782154	897314.024493537	1011562.76102411	1043957.00917718	844318.753132587	826048.50177091	885578.864188413	871231.714412956	894154.118987108	855552.623081942	934259.451895555	898960.763855923	885923.081221687	1112591.20872288	1043198.5169552	1032134.86188781
"sp|Q9JMD0|ZN207_MOUSE"	799506.38639426	840252.892805861	734774.169581279	881387.889048867	992451.289604386	945169.44157796	875060.638846638	842024.064059411	979766.022404228	885989.014684138	868416.880303637	817514.295076019	895542.577858656	745640.19113395	869795.881247379	976252.489234203	1025465.63729762	949748.078722722	931096.901025637	933951.911447737	1042701.94286519	903269.55850574	893777.257660301	885445.644986072
"sp|E9Q912|GDS1_MOUSE"	1021161.02472469	1018673.94633894	974539.188480603	1137426.74582616	1014068.76384407	1103439.92138813	772753.094823159	875601.50597896	707351.402120848	675813.744239008	805211.234876273	712765.128939365	957811.616664989	968780.877201196	932464.530382118	991572.926699823	954575.543444092	999252.809063912	918072.367886018	944151.197855473	976298.316060888	936159.769468784	888977.912858691	944298.61058819
"sp|P70290|EM55_MOUSE"	953508.02451462	1060392.60482233	1044787.97079134	1194341.53921006	1003012.62863703	978121.951704215	726076.286886943	914427.046007451	815448.865700592	530048.826846017	590165.58419289	737311.070663213	1034433.97908487	1079412.95385406	1023098.5086201	991601.236093939	919454.877822572	930559.173962477	960905.306604086	888657.314523172	985430.511079438	955784.884178592	1085581.95363844	880478.227676077
"sp|O08917|FLOT1_MOUSE"	865071.488956846	1067558.89696736	1153960.8325346	938029.892362487	948248.076197557	1014608.37194104	845942.187738425	927139.270728121	730616.801546236	902028.044693782	861353.704051098	737755.531455977	1035613.68966205	941379.026107265	1031432.36702569	979826.550241328	916223.843427601	1060071.56984297	968779.063622798	902675.908181464	834813.376962897	821504.70055861	829751.511299669	731093.730651353
"tr|A0A5F8MPH8|A0A5F8MPH8_MOUSE"	883784.837381689	939328.049620275	977475.789669876	1201027.0105836	906210.662424745	1303550.97738029	994185.8491883	955130.540367333	777533.301834104	1063316.07601761	1175144.86255085	982571.120714814	873162.302403099	1002226.05834237	818221.962169718	742772.783363371	729271.101531034	662174.833742923	878334.600699076	982179.345729761	1187877.88707329	596994.857655138	660362.988264347	519490.175995918
"sp|O08966|S22A1_MOUSE"	933808.77908564	816185.549994419	845352.657635081	860646.327774982	662174.843199796	1042804.41878423	738959.866485301	1144694.76909276	648613.523652863	1058050.75199307	1017813.20576118	698651.212448152	1187239.12001964	1264047.10633182	1287736.42269343	680451.674316923	618435.907370703	803953.078548589	1067357.17530057	1102090.40297066	1057604.90105268	599148.28881847	560597.292045339	613461.99986717
"sp|Q9JKL4|NDUF3_MOUSE"	860998.022293044	830800.301198137	869481.778583237	830921.72604726	779251.722480307	740215.19417169	888698.214772358	979501.554929778	892512.19826505	912644.368337162	1040625.4549237	925136.909383178	887211.87460784	883290.883316775	905136.084171204	913607.844255003	871945.795261647	912893.585541969	1051106.9900055	1026824.00940345	1032221.29777432	1074115.38055149	1051069.44242984	1088333.65841049
"sp|O08638|MYH11_MOUSE"	869278.769984483	861516.318703714	2932906.75551853	1586819.83881269	906128.551852702	650697.134096974	576769.047088236	821759.749854832	402305.142225764	536244.476074035	971875.133859309	668009.02454207	803283.435168269	1374856.06093729	660506.123293469	1157502.3740111	883771.951271961	682997.896953073	990704.086562707	874545.408244554	578772.649851809	735187.753222879	779042.579074571	577313.360092714
"sp|O08663|MAP2_MOUSE"	980103.629326834	988527.868625861	1007977.59355076	994925.653881018	958197.31823861	893347.815905666	829959.239707358	853588.53226716	822899.579038273	748522.523605723	757961.273520301	876641.298439355	794304.586305693	772115.974326613	728147.478755045	981968.964746024	964908.562476626	1023329.95257257	770696.641737209	908190.033024454	758189.747973072	1036405.01822931	984185.972211175	1012348.41744329
"sp|Q91ZE0|TMLH_MOUSE"	706342.071290697	690483.927267491	598343.256981444	708947.558227684	726224.288506521	764610.87700774	714299.751308053	992276.307475251	821911.219105723	615892.978580266	421122.914227573	713001.07726145	767054.662384227	606113.982729568	615629.409540111	802479.317653263	658390.837414027	756602.142604971	580310.437660185	1043072.34067535	668748.304038587	772158.463070799	714964.114522336	826651.839178321
"sp|Q922K7|NOP2_MOUSE"	848721.538340325	937295.887245381	910946.319455165	789641.610063419	664467.540990607	712344.116590589	1246907.67702995	904471.344546345	1122169.58904613	964301.164170347	1046754.30990649	1144190.23417254	708010.308428479	780902.945719102	712594.568451635	664985.645681564	798137.252634564	686803.137102137	822260.017638617	1007857.67680694	882333.317570688	959760.143919477	946985.827913677	884311.581809325
"sp|Q3UMB9|WASC4_MOUSE"	869164.634203565	881058.713293726	862071.860170162	913177.44816905	984876.855926187	857568.804641298	846266.849686441	776800.124233741	997679.814389957	886123.11561437	870541.501273207	1006338.79878713	832623.254346135	890763.468544237	850375.659062446	1020274.60813413	1019671.00761756	895963.215888905	825603.316258625	780443.970767568	830914.50375059	941107.994880515	916509.739752737	902478.652221619
"tr|B2RT89|B2RT89_MOUSE (+1)"	1195093.13162331	994628.093060657	803495.804450477	815984.883710707	740178.820269567	970044.741427834	150065.671398583	312225.804498259	169113.391160557	1743461.09405182	2092159.24780304	248465.472024108	900149.11770989	719286.392736185	1024693.33031273	551802.665906845	779931.597621097	909878.476765386	1709821.3096988	290908.604049399	1762528.7170954	776618.22000288	1256492.34145023	1376277.41279931
"sp|Q9QZE7|TSNAX_MOUSE"	854956.69733755	891437.223482378	911004.687872417	906816.575832623	974125.702843884	952201.734612895	1019960.10482104	897546.652897753	1055697.28416414	955317.333101251	955575.707324682	960733.097524659	915831.888510599	862414.202209932	857394.966079423	975869.30136385	941231.676114692	954711.568078035	784268.765693669	933317.168623426	835195.725026535	833940.790347402	867629.034625124	826391.134999758
"sp|P37804|TAGL_MOUSE"	1053981.94924267	887425.221074197	2259058.68809579	1593506.36751208	863412.926082236	687172.060244145	602939.816083717	912767.409166053	680178.921311067	604811.957963373	727822.556005744	691035.02009807	588530.119591408	823798.898844999	513054.661409418	913372.269653967	1087383.14765334	781874.143723234	768380.075898778	828178.801216708	609112.776479072	908444.147359259	1049085.05012327	814977.305520614
"sp|O88487|DC1I2_MOUSE"	922935.378094897	893210.577131826	936786.304830307	952795.447910726	984862.993102336	918272.226865887	856514.990357044	1003235.63351414	940324.341793859	901455.321970915	907047.682235724	900793.078431349	904402.706980464	857641.547109546	882780.344287127	945441.757938268	892403.442912437	917763.5200887	1033929.53666706	991638.641357701	979424.953888326	845173.579735107	870083.911924683	865434.593864638
"sp|Q8VCG4|CO8G_MOUSE"	1481289.58620464	1183262.28080981	1102440.65728729	731099.592190531	759932.277886765	684028.949181874	709702.147820151	810703.982594637	738265.001437043	1249316.86001901	1152464.25943808	1037381.55012373	667918.331107019	703777.042604857	740856.900414361	676630.917161074	772116.957085647	656059.19658192	855310.11807223	775550.483352793	921303.740068176	1039137.26468458	982241.36721902	1165779.84548601
"sp|Q8BMG7|RBGPR_MOUSE"	967677.588143946	953571.872795104	1025116.8573182	920870.551081258	842856.491052722	1007509.20420265	892586.174658037	885100.436380908	858668.751494019	905838.746127879	881178.319251242	866025.453002305	901343.801948068	969051.276829887	839227.593984826	948990.542700647	923382.840536994	852529.379104612	788329.707747466	872712.791782569	895347.153212761	918634.4735282	958843.442292951	840777.994822895
"sp|Q3UUQ7|PGAP1_MOUSE"	1107505.7269184	1392140.54312302	1206032.15873826	1047382.76146532	1316028.79297555	1192393.72615246	836887.135374059	739555.796317233	705572.168808876	845050.980704928	736708.664363844	760371.818297659	1085788.28857107	973659.25245716	920238.261261814	754199.668088273	699631.496994503	687289.215346726	995412.084171559	755747.592264753	992743.590944511	647217.757068824	654764.913125805	678981.973481836
"sp|Q8BMK4|CKAP4_MOUSE"	868557.549920578	852235.643361269	700930.056168252	996822.496462725	848337.638329357	731149.492184901	1269535.55034134	826805.427378392	1403444.21637964	855783.711405802	990292.781902754	1287270.02830739	692297.590305775	962806.671871064	731144.697752461	816279.136234946	960577.580564778	834595.329059478	764819.666075999	800451.932614232	734940.831630292	872996.426632848	968577.408765191	930944.540395513
"sp|Q8CDM8|FHI2A_MOUSE"	868107.894300927	892628.491081454	921479.426620859	934628.475090831	929172.830578013	934570.845997969	886611.862581823	915997.660183027	795812.397584772	872533.290094384	874926.960305492	900391.600472453	923209.625193631	846527.715754377	843447.335315801	798094.394714677	907213.906931005	833960.783401269	1102951.64790853	1002348.97711629	1023121.41385974	840262.088741561	872109.086228534	881546.112099804
