"accessions"	"CC001_F_1_tmm"	"CC001_F_2_tmm"	"CC001_F_3_tmm"	"CC001_M_1_tmm"	"CC001_M_2_tmm"	"CC001_M_3_tmm"	"CC003_F_1_tmm"	"CC003_F_2_tmm"	"CC003_F_3_tmm"	"CC003_M_1_tmm"	"CC003_M_2_tmm"	"CC003_M_3_tmm"	"CC004_F_1_tmm"	"CC004_F_2_tmm"	"CC004_F_3_tmm"	"CC004_M_1_tmm"	"CC004_M_2_tmm"	"CC004_M_3_tmm"	"CC017_F_1_tmm"	"CC017_F_2_tmm"	"CC017_F_3_tmm"	"CC017_M_1_tmm"	"CC017_M_2_tmm"	"CC017_M_3_tmm"
"sp|Q9D2V7|CORO7_MOUSE"	2311790.72462219	2419920.44555654	2417310.77701409	2483727.15674355	2671005.72274717	2537613.91328716	1479607.79768939	2123627.21483746	1242977.58387852	1416212.91774463	1259194.46585524	1371293.23776418	2503426.06081578	2272891.85633737	2494502.96371382	1903480.1852083	1653084.48452772	1768658.74074341	2405741.85856446	2211618.68980569	2345859.38668049	1434837.43890705	1471462.20656509	1378727.02936942
"sp|Q9CRD0|OCAD1_MOUSE"	1955938.97401899	1711657.19974567	1886618.42934603	1793396.99214947	1595903.2109696	1532824.62866399	1957822.4283554	2628696.2495856	1956627.23086035	1836628.64658708	1939082.31820458	2048151.23891281	2590402.70981561	2393789.97002086	2513929.46060705	1593127.33066568	1683744.41571529	1746725.22263139	2441618.68268735	2439988.30768817	2247287.90180105	1743102.74809444	1657056.10276266	1817181.32229268
"sp|P52019|ERG1_MOUSE"	642578.542994154	780284.014704631	203514.404348787	270282.093353755	561460.361548214	99562.8495167409	1714321.53207013	1055724.03315904	1292220.34595885	1701153.18182003	1411094.80888406	1365303.99140243	1176114.75944553	1246841.15101146	1890853.01810093	500086.45810615	582370.604069364	85662.6469580448	660474.738608375	1091810.82430823	1992526.69440715	281600.092873526	298433.703934164	47404.0413297053
"sp|B1AY13|UBP24_MOUSE"	2005336.15285704	1902881.34340434	1922582.94296611	1978023.00343564	1988279.77637319	2146239.11558615	1865944.8711756	2015838.78301877	1962870.77287329	2045143.48676413	2073335.6911062	1825769.03081962	1959260.75966626	1943021.59051404	1937497.10802512	2019481.97179712	1947377.94925084	2038256.24277425	1934629.79979148	1940953.49921471	2053018.46622186	2055208.29321532	2099125.99047542	1979972.0303458
"sp|Q569Z5|DDX46_MOUSE"	1856239.40152872	1856803.1126721	1879143.44450061	1971607.15015481	2018001.67071062	1936029.97937265	1918711.30827339	1920750.9181907	2004745.33947147	1884859.34990413	1896494.82111057	1924477.73700523	2020477.3640139	1926731.53769536	2046665.52879319	2153765.56068604	2231061.19637149	2112289.62026551	1996009.16889008	1989824.35656479	1993715.74303323	2035168.17886224	2047695.91317651	1973290.98441594
"sp|Q9EPC1|PARVA_MOUSE"	2031003.91248472	1911494.9088913	2038797.33229225	2015197.52312919	2028510.75756106	1938805.27956593	1719322.7453568	1950997.42869741	1840287.25339659	1995331.5099781	1888095.98597828	1966600.914196	2233306.56415255	2141829.359619	2143237.47265132	2151646.40032651	2152014.38715152	2066359.29375221	1989458.39984096	2085918.99501316	2060754.82154893	1789525.12445915	1780272.44209934	1807566.35164562
"sp|Q9D517|PLCC_MOUSE"	2274198.72767601	2069882.11155428	2172860.97498584	1795603.63120634	2188837.51451585	2057844.34154599	2170083.92621632	1999905.8454239	1995980.83061369	2061688.18903152	1937018.03500781	2160711.39194452	2070843.41187424	2319997.30142721	2032095.65612327	1950152.26560742	1748296.29545906	1806790.46044132	1735348.45348073	2111324.98344264	1916947.79111234	1961705.29942492	1683942.38048028	1697087.94243784
"sp|Q9CR98|F136A_MOUSE"	1927406.0127186	2074843.39073161	1894602.46333863	2098090.81274082	2054243.35774248	2021988.00640576	2000576.68128033	1546735.96505641	1610767.08331909	1972645.17135736	2024122.92371681	1895891.40889777	2118462.86248871	1999800.42983929	1986915.66480213	1975014.99098966	2396199.78697715	2088293.82876432	1853189.56945951	1639219.54617701	1990500.78818827	1969204.08484522	2174306.110433	2405041.16911663
"sp|Q9D4H8|CUL2_MOUSE"	2413515.22329462	2164209.95019544	1861842.47151161	1936857.07864401	1789028.34278576	2018556.49818485	1776891.69553264	1886547.13822948	1946410.77861198	2234998.74125325	2226741.73582903	2102487.94262079	1805918.70603001	1878496.71671276	1662079.24509438	1785702.99518849	1815059.86592041	1729148.104519	2024499.9340655	2107288.67009831	2340265.25754659	2004251.69826005	2072757.94252809	2122224.26267008
"sp|Q9D832|DNJB4_MOUSE"	2179548.67956222	2076466.31764893	2042465.93084542	2011271.67223406	2021595.34120133	1904056.55670163	1975821.65127129	1923059.14874024	2018114.15923454	1991409.05776881	1857801.85298833	2030315.19191429	1904459.29950895	2196832.30363852	1889342.90497034	1874713.79658744	1939326.41206519	1996900.94978062	1970394.32501638	2021584.2834202	1909623.94087928	1997545.18488601	1897331.69452991	2112836.90682507
"sp|O70492|SNX3_MOUSE"	1995611.98110864	1978876.74160513	1961599.83775066	2013482.54059434	2058191.06342693	1980581.07087896	1753043.23522543	1821308.36129284	1752880.44671626	1818832.33563752	1993636.8069043	1932933.46640831	1798022.23894812	1955681.57914454	1896111.22365536	2192003.46373823	1931358.42763999	2071668.52913924	1869829.05760093	1877925.16430631	1856794.20885252	2121700.56859651	1968819.55170955	2008792.87728589
"sp|Q3UGR5|HDHD2_MOUSE"	1727214.80477566	1533861.21132928	1388155.97345323	1828758.19800377	1863674.3173703	1670588.60761077	1614332.74851692	1848351.11562359	1895575.14376981	1865276.88906439	1782699.61002352	1611397.17680836	2183656.04337846	2068676.0946586	2101754.33030292	1947014.97810951	2050987.30409342	1969314.48405005	2315164.77598978	2227732.47729944	2579844.55422207	1843281.47777338	2036094.92697523	2089888.92286129
"sp|P50396|GDIA_MOUSE"	1805209.88423771	2013143.20371972	2272895.83042166	2074310.49696313	2057139.62155636	2181870.79351948	1836194.8372614	1541631.99888261	1726151.15169237	2311778.97386284	2288150.96120252	1912801.95317556	1636037.17427453	1677113.03535554	1700116.52680199	2299619.60337002	2296389.62530054	2294402.19037114	1491472.68002353	1539576.85809531	1420062.24908697	1937477.46139874	1944395.11407151	1952803.64681444
"sp|Q8BVE3|VATH_MOUSE"	2004034.41459708	1936898.34006877	1948549.23376874	2156092.53710242	2209452.59995396	2034946.02511693	2215547.24359273	1812729.33177105	1921426.41172417	1829261.47673245	1969959.71633162	1886724.17641492	1831952.55476901	1990943.31718973	1929197.76051518	1959575.24964884	2067672.29886685	2189298.44742972	1732025.47561369	1831881.8963582	1904062.12284935	1992849.136291	2021999.27615997	1981235.44290345
"sp|Q9ESE1|LRBA_MOUSE"	1971526.37954748	1766450.8376655	1847173.81845473	1907803.87883344	1998296.19979137	1984180.81077574	1865733.75220393	1793139.04632198	2065235.56341086	1928930.13061459	2190923.03979298	1912379.44106392	2077591.18524815	1879446.16503305	2034675.60701881	2040261.06707815	2100785.73229045	1951931.59385548	2054644.16682459	1879358.48955574	2072551.60560816	1957288.2338437	2121679.42965298	1938488.9819946
"sp|Q9EPK7|XPO7_MOUSE"	1743673.97152736	1677616.84489302	1771770.43509916	1716763.07159231	1688697.75471776	1790834.5490047	1946048.55394002	1934827.09732701	1800757.49192919	1891598.85290475	2055856.9353759	1995331.73778752	1899090.17249404	1919935.96807958	1879988.36068147	2063729.55480018	2065741.73861381	2074192.47517077	1926164.60191004	1970710.45982451	1921907.54557164	2089134.01764234	1997610.64710491	2019718.38778442
"sp|Q9CPX6|ATG3_MOUSE"	1938014.73676911	1831457.60980141	1898439.46912846	2212579.11351553	2190902.00889864	2180973.20960907	1789122.40301695	2049179.89095644	1994849.68697607	1791034.33030814	1772138.67136582	1946140.17074639	2015847.29412395	1846760.33924012	2003224.67745555	1996865.79904793	2002378.27401562	1813997.23140242	1918369.98887658	2050463.45438066	1880748.58429863	1835497.75240662	1859468.0967645	1859345.20963328
"sp|Q62465|VAT1_MOUSE"	1718386.99247913	1641364.00245245	2124465.90220974	2285549.3999893	1970036.30018473	2151558.78926236	1396588.36677433	2353610.91322706	1358628.67632363	1609477.5021336	1466121.94347073	1449291.53425239	2215669.73059163	2015957.31592353	2138695.62962767	2234756.71515189	1849666.4363218	2149513.24818013	2131509.01919866	2737146.68723848	2171781.15997177	1746179.50382296	1664619.67123343	1690795.94735907
"sp|P61327|MGN_MOUSE (+1)"	1893893.38601109	1876051.19409057	1942972.65777295	1946548.52741989	1917957.93645923	1859532.6330436	1875839.96415409	1861013.53004314	1960568.61742064	1765263.67029207	1867481.49447964	1927642.91972901	1828138.54940344	1967518.17040948	1933059.84347312	2018636.7341728	2043402.6793926	1975861.2868506	1997599.53518821	1844651.61994678	1830405.73024071	1950181.61315807	1963626.3124952	1851014.70841983
