Accession	CC017_M_1	CC017_F_1	CC004_M_1	CC004_F_1	CC001_M_1	CC001_F_1	CC003_M_1	CC003_F_1	Pool_1	CC017_M_2	CC017_F_2	CC004_M_2	CC004_F_2	CC001_M_2	CC001_F_2	CC003_M_2	CC003_F_2	Pool_2	CC017_M_3	CC017_F_3	CC004_M_3	CC004_F_3	CC001_M_3	CC001_F_3	CC003_M_3	CC003_F_3	Pool_3
sp|O88735|MAP7_MOUSE	496160	653113	498580	579447	612866	647834	691640	572929	588546	528620	568240	532069	507920	733538	656897	634729	504953	588546	584293	603389	513203	584869	578429	650369	604269	597025	588546
sp|O70303|CIDEB_MOUSE	619929	580595	529143	549867	608827	679191	754194	665693	614823	572788	596866	572217	578656	603720	715682	713961	578307	614823	559681	649559	519891	560836	651793	647014	678716	671236	614823
sp|Q9Z0R6|ITSN2_MOUSE	579023	513072	628766	551511	639868	648113	613562	619477	601895	634120	492987	638177	515929	667283	695553	616704	515508	601895	572913	502995	647524	569563	693560	650671	582569	589191	601895
sp|Q61584|FXR1_MOUSE	609776	522076	585016	609527	554780	612758	649878	769860	612229	532551	651411	576556	666037	526867	667793	670075	634581	612229	545934	547802	562246	620228	627197	700848	671256	619533	612229
sp|Q8K0Z7|TACO1_MOUSE	669131	583479	651490	611754	531657	651254	604796	537773	600906	567971	635604	573279	540938	571657	590870	647538	674168	600906	622155	602266	595375	593667	609036	616067	591486	580497	600906
sp|Q8BH69|SPS1_MOUSE	653494	680495	545702	539948	609597	621086	576232	669731	607413	607173	581026	634405	579413	550793	674383	645225	585505	607413	593796	651589	538605	542272	512081	671947	716286	608998	607413
sp|Q9D939|ST1C2_MOUSE	485436	571893	638111	701523	789144	416694	369194	431709	573781	523123	607212	657080	683371	620084	555657	372525	555395	573781	453333	378282	640414	768371	573110	768355	432794	591286	573781
sp|A2AUM9|CE152_MOUSE	607565	641876	619118	690406	641493	500918	636725	537360	612598	804349	450714	482043	604840	742258	836093	501360	552177	612598	528741	695389	587827	508856	808838	630526	514245	661927	612598
sp|P54731|FAF1_MOUSE	590693	561451	527445	537734	541524	595091	654386	698128	584326	562584	576970	559941	572935	564889	586181	635472	606489	584326	555713	534339	553924	583975	563856	589115	614399	721399	584326
sp|Q61129|CFAI_MOUSE	490081	468323	512624	564962	514299	681838	741046	721914	580784	503515	461729	563569	620156	479085	728908	744247	550282	580784	484457	462534	479579	512611	637245	888493	631727	517326	580784
sp|Q9DB60|PXL2B_MOUSE	675093	657752	515826	441315	678653	697216	445412	440234	564348	849883	544836	493295	444736	562369	824412	448382	462290	564348	795998	602938	500847	407971	508130	688913	536612	462576	564348
sp|Q9CQF8|RT63_MOUSE	650325	526893	506797	516600	615018	654415	680339	774741	613414	650591	657631	550515	542497	556930	656019	638763	679266	613414	675729	538377	520112	511850	564089	626210	750112	817115	613414
sp|Q6P8M1|TATD1_MOUSE	694002	486719	674753	574329	791992	750802	402901	325966	594984	747346	499186	727330	517670	733230	808382	303564	432597	594984	724612	489029	705104	506355	787883	810870	330973	313395	594984
sp|Q91V08|CLC2D_MOUSE	358405	649852	431289	729405	751354	579876	816888	545533	611404	429754	637135	428532	630813	703681	569469	750601	708360	611404	393369	644432	420665	794018	783381	600973	645230	563022	611404
sp|Q62241|RU1C_MOUSE	484553	760838	571798	558161	546675	582755	729171	670789	609159	624649	533442	629109	499733	627901	675221	711532	530152	609159	573561	643339	655454	582688	594953	519924	553946	825858	609159
sp|P01869|IGH1M_MOUSE	682174	546906	994124	742868	163367	340154	820468	530436	599050	669489	298987	1259020	830901	625647	365433	347300	260023	599050	323535	347401	364992	1474195	400632	906798	397468	628017	599050
sp|P70677|CASP3_MOUSE	568344	450420	636102	475448	606309	658102	642899	656332	585649	660903	412327	652243	545134	626117	673401	680076	417435	585649	578717	493782	568408	461657	572022	700312	713646	641161	585649
sp|Q6PIP5|NUDC1_MOUSE	631813	512129	508180	528927	525804	680846	696642	668822	585904	631166	635275	563042	533494	450785	647686	678303	606410	585904	645219	531164	516878	523134	511321	712911	656725	605922	585904
sp|Q8BZ36|RINT1_MOUSE	515615	511663	470818	510143	564805	624136	764299	773469	585758	547296	515344	507600	551156	557003	660265	835708	512979	585758	489673	563966	442719	466724	556118	632623	821052	802972	585758
sp|Q9JIM1|S29A1_MOUSE	498062	649522	622555	711860	512630	486404	486245	495492	561612	500220	598213	570644	765384	437689	476917	566392	602764	561612	484084	585012	575956	717677	516688	542480	562555	455958	561612
sp|Q8K215|LYRM4_MOUSE	655028	540406	625569	595464	491449	609275	606775	567881	583597	625631	496733	594984	579687	492613	628790	612518	646725	583597	632800	543641	614183	572515	446848	639293	628522	561006	583597
sp|P32848|PRVA_MOUSE	620778	180811	284615	901341	306475	998217	240449	521433	487963	183435	103288	67796	2844494	310461	211976	335356	101886	487963	421510	277667	627933	597526	272718	379184	381857	1312194	487963
sp|Q8R104|SIR3_MOUSE	553670	707491	598197	652002	630847	574998	538127	509310	599171	638430	514814	542370	515452	770147	737884	488820	566380	599171	600346	552922	734610	601717	749715	590688	422182	521676	599171
sp|Q8BVW3|TRI14_MOUSE	596409	619513	606242	743112	446712	362377	615336	791387	601223	586830	683610	583094	767860	505679	372781	624119	703201	601223	537994	500986	569301	760720	524263	428067	747969	861967	601223
sp|Q6ZQB6|VIP2_MOUSE	671263	576872	568058	588875	559041	675429	603001	655272	605610	620956	652343	566136	587318	494871	672359	654995	640919	605610	629295	609650	525911	581241	523112	608132	728248	650683	605610
sp|Q9EQQ2|YIPF5_MOUSE	560518	462336	423835	469920	458429	570385	786711	776790	554040	542505	487331	483130	565429	449812	609636	820606	510463	554040	484589	514267	430282	487294	485890	608852	784518	672008	554040
sp|Q9EP96|SO1A4_MOUSE	237158	556875	382360	716945	710703	506346	704360	697938	576044	258672	575596	378955	666008	942475	630950	491794	587820	576044	179673	453111	346841	660042	922567	624882	660239	787799	576044
sp|P48410|ABCD1_MOUSE	472243	616728	707962	737994	578331	512101	581159	526144	599566	572054	553963	666481	661216	674091	522421	554213	529366	599566	524079	667559	635236	620210	684146	554558	508828	540540	599566
sp|Q8K1X1|WDR11_MOUSE	634234	585799	583613	551458	578526	599385	617230	678935	602583	590695	610041	622792	572871	538645	592668	664568	627193	602583	551992	588208	517230	663718	741411	553337	570334	622872	602583
sp|O09117|SYPL1_MOUSE	395113	406921	471251	405848	463209	448199	535517	546235	460054	382611	405708	452254	572338	411712	552895	540231	375966	460054	433421	433900	405621	411847	456324	643894	494649	356342	460054
sp|Q9Z0J0|NPC2_MOUSE	446157	610212	561079	628066	537572	540177	776976	725969	602346	400252	555294	609740	686869	564590	672894	747535	552062	602346	449331	599870	572365	662825	637737	616021	672543	552765	602346
sp|Q8VCM5|MUL1_MOUSE	643838	551564	525347	565991	611570	595531	626442	668254	594733	641210	601789	591828	574339	557730	639459	615270	589307	594733	618506	602329	545835	595962	575398	548402	670854	651777	594733
sp|Q3TZZ7|ESYT2_MOUSE	495743	472843	606096	553913	680628	632296	626301	540624	580566	538736	482436	594006	573201	631451	695024	623518	493477	580566	446250	476631	568339	556994	679568	729441	606753	564488	580566
sp|Q91YM2|RHG35_MOUSE	613108	529446	572877	511744	607363	604984	648475	669445	593005	588787	590865	590061	532386	571823	600421	658768	594959	593005	564829	539239	542813	544794	601982	628356	674631	670801	593005
sp|Q9JHL1|NHRF2_MOUSE	521044	811838	568923	507920	597591	612897	606377	500408	586742	502191	424521	619526	564850	563717	771697	775111	441020	586742	546147	584040	640661	543108	622493	691231	541857	463676	586742
sp|O70362|PHLD_MOUSE	604096	576746	634081	628704	479231	444591	749075	638463	594815	660113	533252	689689	670533	503248	415250	728227	539720	594815	584536	582295	627119	684703	528522	485412	633050	673970	594815
sp|Q8BLF1|NCEH1_MOUSE	558192	485377	562508	508861	544352	620842	807356	508143	569540	496614	509926	538735	569298	544774	696844	688118	512411	569540	504308	635606	502277	490446	613556	573586	623064	583372	569540
sp|Q9ET26|RN114_MOUSE	664216	525512	516968	451386	489226	516879	740263	863940	589472	578075	436824	600197	456202	509275	755714	864832	510050	589472	640077	579630	585650	531150	549635	602046	594008	691092	589472
sp|Q8VD31|TPSNR_MOUSE	358793	399912	369279	396147	430058	452218	412674	499436	413220	413288	364344	434646	414091	351942	433795	539283	350772	413220	359347	359544	352167	371936	423746	508759	459459	508647	413220
sp|P53612|PGTB2_MOUSE	600383	529659	532187	551210	643957	616891	671159	602676	593267	590290	542807	533602	587232	593202	671430	671940	555268	593267	534008	653718	502618	657141	549249	621219	614581	623547	593267
sp|Q9D820|PRXD1_MOUSE	685624	516679	607421	494586	491865	613339	665453	596991	578202	635706	496222	621466	528857	461901	646698	619639	622597	578202	667632	508677	572248	505603	448636	660842	701462	584204	578202
sp|Q9CQ10|CHMP3_MOUSE	641083	540914	533950	539725	555383	651577	686565	705598	601571	627365	513359	576977	571645	569561	727329	698912	533227	601571	618108	519065	634550	538516	562172	687450	639716	635077	601571
sp|Q9D0W5|PPIL1_MOUSE	477796	578658	458117	451026	458795	447331	549692	604824	501156	453926	571725	440484	498648	485114	519090	520337	535089	501156	478782	505546	433728	459690	426040	531882	618060	575841	501156
sp|Q9D0P0|EBPL_MOUSE	245650	413910	299452	399395	238917	243556	1124006	965846	483554	356990	300256	358500	983814	295382	396626	880386	328744	483554	348773	387045	385698	419524	310379	295425	822215	1186589	483554
sp|O70572|NSMA_MOUSE	538260	478033	473194	456483	513834	551183	635083	733956	543690	587680	477815	499929	518396	508378	571064	717603	480562	543690	534858	513463	422894	462536	551758	487169	710538	738061	543690
sp|O35382|EXOC4_MOUSE	548959	567561	604572	563879	571702	617958	603953	622659	586553	560269	497860	618967	543843	582655	640736	714325	508148	586553	548715	562752	592489	562329	599237	561255	615373	668691	586553
sp|Q8CGA0|PPM1F_MOUSE	589040	500169	686522	524121	586429	602813	465150	420567	548557	628139	496550	631123	524297	548631	577698	526902	457377	548557	602261	548245	661010	497258	542193	537100	485201	490638	548557
sp|Q8C8U0|LIPB1_MOUSE	655424	554454	666419	544837	600268	625179	422077	480461	571995	571016	507158	650630	555692	514625	655442	550730	561138	571995	570992	457554	624720	553976	520021	739866	546647	542759	571995
sp|Q924L1|LTMD1_MOUSE	591667	541690	517205	473147	448396	486508	508772	606036	516874	581516	450627	536170	472784	458907	445279	593438	577565	516874	608797	602236	524801	493251	410689	447466	535540	548477	516874
sp|Q8CI95|OSB11_MOUSE	482065	571997	488560	581922	487127	526733	650987	680740	556041	496652	562019	492474	619168	465155	574467	654494	600831	556041	474792	562561	482798	578833	517671	553555	655948	636724	556041
sp|P62876|RPAB5_MOUSE	624751	560441	604547	538667	462817	528350	665027	685653	578792	508993	553621	604728	587630	537744	602411	646787	577889	578792	548734	546361	545717	558419	505553	645190	652573	687387	578792
sp|O88271|CFDP1_MOUSE	617638	536115	628286	538247	587025	611895	536307	690306	595276	627420	522799	713731	521358	553682	692273	589299	532121	595276	571353	462711	635560	544619	590967	668083	666678	649120	595276
sp|O89079|COPE_MOUSE	584384	576167	519255	516414	533148	601560	662466	703698	580363	546339	549226	597848	560295	469618	651992	745907	533466	580363	547961	574003	523426	538659	493426	648058	672338	694964	580363
sp|Q3UBG2|PCLI1_MOUSE	627280	619115	579302	657066	510615	584789	517827	621768	587481	582148	525405	534210	680877	553186	536481	682217	606395	587481	629396	576320	529275	607676	560630	573028	646734	590812	587481
sp|O35218|CPSF2_MOUSE	602597	551615	589935	536472	563933	593675	602319	700162	590607	626446	539083	623352	568567	506429	661714	638071	565150	590607	605746	543276	591437	529714	547201	627093	667148	637779	590607
sp|Q9CXJ1|SYEM_MOUSE	564901	562117	519482	613770	525987	573772	696262	623955	583088	552729	568693	528437	565093	510717	605697	725085	603818	583088	522304	593208	517339	610745	508158	570578	774405	509945	583088
sp|Q91VU0|FAM3C_MOUSE	501661	525123	368875	561877	264367	368950	748492	803206	511735	552828	539210	434007	606493	292131	423490	761780	533538	511735	529210	550771	440802	599337	274790	390739	669381	736592	511735
sp|Q9Z0S9|PRAF1_MOUSE	595230	575224	577936	545661	449618	709513	710732	677097	588532	578183	519749	570080	600142	462457	682776	729826	612540	588532	582330	592595	598550	646900	408494	638042	685270	596750	588532
sp|Q91YJ2|SNX4_MOUSE	462594	610818	481931	592229	436132	526545	866083	833096	593194	458233	588645	495794	667482	441967	566257	968867	571227	593194	468941	598653	505614	610655	508487	552848	787672	750050	593194
sp|Q60715|P4HA1_MOUSE	603411	378372	552853	427841	585603	781577	553685	811770	579250	652664	523208	618249	523968	538418	683364	596493	512338	579250	640011	500780	508749	438594	542056	604592	728885	763647	579250
sp|P01863|GCAA_MOUSE (+1)	619705	442131	1042671	923617	231436	264060	196014	757985	573610	675570	194181	771282	890670	914829	429222	364657	243103	573610	282196	439889	418249	1372773	351313	502495	469801	899871	573610
sp|P49222|EPB42_MOUSE	491861	529757	595411	728748	729963	475579	375516	369209	552300	770650	497250	615186	872953	379435	432111	452773	486391	552300	505445	553960	602696	777923	325223	667899	491506	481811	552300
sp|O35680|RT12_MOUSE	640025	477355	543283	470112	578671	574960	625200	715628	576656	646120	594977	552333	456714	573227	607814	661348	547921	576656	575486	504561	509537	471592	592712	551127	730022	727341	576656
sp|Q6P2B1|TNPO3_MOUSE	557953	466396	476283	458365	388184	443513	525944	625125	488352	515730	470857	475906	419533	465489	474754	567992	512830	488352	568926	519621	443410	412449	482863	429358	463530	622869	488352
sp|Q8C2E4|PTCD1_MOUSE	587764	364476	470944	423919	353187	387232	445888	553596	446287	586826	388633	470133	449143	315309	504444	490997	413556	446287	504144	375915	460729	464318	399524	454672	437259	473600	446287
sp|Q7TMC8|FCSK_MOUSE	598776	562085	534699	535816	573435	605185	606614	713301	588301	619914	518438	447752	533719	521731	588278	883678	598726	588301	626886	606537	618464	566661	571864	674770	498450	501319	588301
sp|P51125|ICAL_MOUSE	534259	435646	539569	454123	610678	702729	731571	639317	575730	496783	458428	546479	458089	668788	717132	698074	506892	575730	479016	608533	463301	458116	732146	628504	624139	620238	575730
sp|P61965|WDR5_MOUSE	581365	541161	595594	533210	579586	535422	581446	699249	582940	573546	598919	639513	630401	565911	554568	539839	550174	582940	552211	545244	616951	594343	586588	577778	594471	592833	582940
sp|P33587|PROC_MOUSE	947394	493018	737107	497719	453959	559223	505548	528711	587446	945995	496266	757837	513111	450546	458630	581010	504197	587446	924402	502365	704201	592317	417359	450048	607501	519083	587446
sp|Q60870|REEP5_MOUSE	462632	540527	407656	553119	448509	509127	623636	800499	539807	428354	497105	368381	522001	497413	691486	760750	534763	539807	428308	526722	390648	485440	506020	600754	780491	592749	539807
sp|Q9DAS9|GBG12_MOUSE	528237	480317	561191	464128	502119	598993	667390	545527	539136	525772	452686	540442	530320	477969	620002	722605	436134	539136	529394	444072	543904	515554	492844	644239	637332	486479	539136
sp|Q9CQL4|RM20_MOUSE	624421	517296	507821	483747	597774	626784	575281	710785	575345	613081	630187	559432	461738	524002	618583	617317	607118	575345	590990	546360	486556	474304	582336	589185	723846	660621	575345
sp|Q6ZPE2|MTMR5_MOUSE	585588	521570	543415	519037	478560	552761	621061	549876	543508	537444	501996	549666	539326	486051	550792	644722	529108	543508	513965	495776	525513	541881	478911	635467	596663	565425	543508
sp|Q3TL44|NLRX1_MOUSE	625994	502313	599741	551696	530169	633457	564025	608983	574823	603997	557620	566943	557305	597121	609162	583821	505674	574823	602024	572896	584457	555055	570965	586511	530390	617987	574823
sp|Q3UHQ6|DOP1B_MOUSE	650056	622428	599360	620641	475722	526275	576528	622094	583399	773234	586309	613529	570756	509867	570385	542338	550040	583399	699305	602787	628912	607372	517113	515468	557670	519560	583399
sp|Q9DBA6|TYSD1_MOUSE	667354	531447	601135	538378	473966	493014	592827	628175	563833	554770	670663	558725	565080	486034	513325	542811	633187	563833	632314	550212	618572	580488	437321	507595	616969	603061	563833
sp|Q921V5|MGAT2_MOUSE	710601	432337	555545	531975	407100	630860	664231	749607	574823	642724	525482	593674	601346	483014	617443	653836	520144	574823	624483	573685	542528	521014	475278	674464	641999	576903	574823
sp|Q8C181|MBNL2_MOUSE	480009	581669	492004	564508	539462	558286	659278	600352	560307	490371	519624	581284	527256	562983	647838	647235	493827	560307	546251	632049	582991	553572	571471	516164	529426	530135	560307
sp|P50462|CSRP3_MOUSE	372669	596213	404294	800127	531674	596975	598927	574618	559643	452501	250579	595936	836185	560337	672966	770892	301968	559643	464390	533529	384289	809636	555777	433658	578452	804427	559643
sp|P51655|GPC4_MOUSE	599479	540442	567083	601078	581533	543278	518169	699654	583234	549032	613295	598556	655366	515228	601444	543953	608712	583234	554727	578834	601493	578317	599171	530886	591283	631025	583234
sp|P97431|IRF6_MOUSE	571038	637780	497609	711278	608799	718060	537465	393098	581165	494615	683322	498347	662513	429666	776212	495027	710932	581165	531386	654523	443355	707235	525925	816266	474431	434047	581165
sp|Q9QXY1|ZO3_MOUSE	450395	664106	476658	601306	561773	590536	629579	669699	575519	535098	585148	491785	666419	575594	632273	560899	580956	575519	635607	576637	594697	543994	542192	598554	561869	550812	575519
sp|P02798|MT2_MOUSE	24646	107316	106539	210371	54416	101941	88209	2084571	344926	114250	167574	239437	422785	198103	1508149	145905	189447	344926	172739	124511	350519	476536	154969	739839	404033	388854	344926
sp|Q9CQ20|M1IP1_MOUSE	422909	422272	579988	534988	702017	442238	608393	806793	576629	488117	570625	544717	533668	547039	573519	763592	583508	576629	405437	412549	417107	561772	577386	686043	804711	897407	576629
sp|Q8VE37|RCC1_MOUSE	563351	473109	609900	531504	462333	503255	473106	526266	518821	524027	424933	566040	603752	509153	556668	487956	485502	518821	501770	487221	597481	547987	465044	575982	494631	462801	518821
sp|Q9CRA5|GOLP3_MOUSE	473356	588579	523595	596958	545581	563979	717867	671799	584036	545069	559332	556054	567318	558800	693680	663518	544912	584036	522792	582861	527552	604335	545726	679466	610490	591245	584036
sp|Q920R0|ALS2_MOUSE	472663	377334	404837	432865	574036	506030	480930	544402	477203	492740	444062	486499	462255	422293	469423	552990	485393	477203	456048	446295	460855	488755	518678	502820	468812	481606	477203
sp|O08539|BIN1_MOUSE	701124	294039	599374	598293	263862	724132	658035	511046	528812	606051	331916	553331	748006	359553	693235	545511	464746	528812	563238	506538	629709	559042	468180	544668	477533	459860	528812
sp|Q9CQF4|MRES1_MOUSE	826891	428133	720588	384702	496211	523531	428384	408524	527471	739076	431740	695175	488569	441508	533788	445507	447266	527471	733574	467421	664214	433546	493117	546609	419686	469986	527471
sp|Q62392|PHLA1_MOUSE	1023614	253937	245930	280617	260905	918275	1119901	859754	581107	856183	378616	359038	402205	212286	816074	1394804	340528	581107	1028939	380456	275813	265935	248318	760377	1061499	744169	581107
sp|Q9CZ69|CKLF6_MOUSE	498535	352617	467945	508348	471072	640162	973806	630636	559247	581148	412037	550319	543188	432032	689102	847919	420304	559247	514903	407028	550223	540822	495969	603169	718484	688347	559247
sp|Q9QZU9|UB2L6_MOUSE	244306	357099	312591	368562	250871	507222	804108	810636	441398	320968	477212	340032	423930	243379	577563	734211	464311	441398	403417	237901	546830	589432	180053	427263	532407	774695	441398
sp|O88630|GOSR1_MOUSE	518058	595024	567032	581824	508750	544492	679109	652493	576384	611884	552922	636011	644794	483794	619479	633543	470365	576384	536897	575613	551062	589145	494178	627348	608123	662484	576384
sp|Q8VCU1|EST3B_MOUSE	762353	436185	303458	530463	388120	779491	980552	569700	569904	720149	127689	540015	594116	317375	685134	1432799	142655	569904	838808	614708	242296	533574	242945	523663	1034817	519926	569904
sp|Q8CG50|RAB43_MOUSE	501801	514828	558752	560531	524311	476921	676249	702536	566633	509898	587954	515156	612831	598108	494200	596122	605343	566633	482847	547944	517514	579508	575013	511374	646796	716098	566633
sp|Q8R0J8|GNTK_MOUSE	532166	609916	587879	636006	441177	507245	676594	501111	557590	720230	471339	554723	644656	494117	606273	540839	474512	557590	551424	612154	669262	600208	551988	488829	467840	470842	557590
sp|O70579|PM34_MOUSE	471280	543041	366949	538044	340048	562055	900666	679567	536464	346933	777131	299924	580584	384358	406878	715413	826520	536464	424733	625147	323945	591783	349863	421133	861832	770148	536464
sp|Q8BWU5|OSGEP_MOUSE	582636	538399	568145	565449	621741	597640	439308	519597	556864	584078	513964	550421	548925	637357	688795	404964	537217	556864	514513	528835	560266	578736	671526	639617	466339	420377	556864
sp|Q80VJ2|SRA1_MOUSE	599135	497660	483002	504033	590613	615483	651663	678108	574755	689166	444550	569418	435817	529824	881666	650003	446457	574755	598386	479651	559129	471418	634072	698577	507884	719786	574755
sp|Q9ER39|TOR1A_MOUSE	545906	475148	495538	529264	509490	544967	703563	687313	560002	534477	466181	561587	513346	568828	599533	722124	474135	560002	526910	437030	533152	493190	534011	589889	717484	721073	560002
sp|Q6A078|CE290_MOUSE	326604	588958	616849	821329	659395	546493	313371	231775	524363	415880	529389	572439	665388	554229	715088	336030	480078	524363	240913	596705	688960	917029	649317	452823	227572	344588	524363
sp|Q14CH1|MOCOS_MOUSE	586644	519916	526502	507328	467498	578921	709037	656624	562009	543764	555953	570893	462769	509267	562513	716868	544174	562009	611353	461081	576367	515114	526069	618346	621819	586318	562009
sp|Q9JI99|SGPP1_MOUSE	595071	442567	555593	474659	535154	521298	559127	808264	560787	595081	583968	570571	527627	568263	557522	527850	569362	560787	613573	441284	522294	467695	578500	555288	683328	706273	560787
sp|Q8CCK0|H2AW_MOUSE	534294	462252	951183	518846	583693	456585	476839	450106	564176	574393	442440	864963	565362	529916	586144	485734	407791	564176	509603	503384	894924	573162	620449	600690	380779	400250	564176
sp|Q60575|KIF1B_MOUSE	553055	560417	584298	540845	553815	531296	531287	600078	558785	556136	520502	611969	532377	567622	480858	596846	546010	558785	553643	539306	575651	506196	630208	543958	570363	556156	558785
sp|Q8VEJ9|VPS4A_MOUSE	549387	516906	569501	482570	620484	567821	619609	638126	571553	588538	445023	619365	552198	531725	657396	689333	464287	571553	551532	481848	593501	530869	628026	594147	620884	575712	571553
sp|Q62419|SH3G1_MOUSE	613151	420344	518383	447342	511255	597583	537156	763263	548439	558554	502512	587502	535170	469148	626769	586144	532322	548439	618333	403942	513559	458552	455411	605154	734890	670990	548439
sp|Q9JLV6|PNKP_MOUSE	680988	585673	620988	583289	409807	581577	561549	606813	572251	632672	568291	620665	606550	415921	575156	601414	599194	572251	643328	592712	608602	634164	399381	541085	598005	571640	572251
sp|Q6NS46|RRP5_MOUSE	622517	446898	484346	428724	469135	529479	644599	741311	539973	496858	610288	505710	501508	443879	563697	673839	562948	539973	519248	494362	463203	461258	462721	562928	742632	658970	539973
sp|Q0VBL3|RBM15_MOUSE	614674	436022	593233	562265	448641	591427	635235	682917	566331	517837	527788	546286	559826	470553	529469	785189	579428	566331	548962	441603	528698	537470	478903	640090	724311	679558	566331
sp|Q8VD62|CK068_MOUSE	608343	423252	579615	533452	468102	606262	620580	649773	558389	603528	487034	604550	570156	557289	605396	570743	465063	558389	553771	455628	590771	505918	560974	625278	609807	552284	558389
sp|Q5EG47|AAPK1_MOUSE	646054	382448	594236	529830	390128	550286	526150	541034	516991	536777	476965	591828	572840	506506	498862	419844	528542	516991	771242	825027	384756	340760	425715	383713	524585	416799	516991
sp|Q8VBT0|TMX1_MOUSE	567054	436305	556764	557221	495882	596117	591594	767572	568085	564252	557210	554001	608163	549192	599380	554930	561050	568085	508492	479437	536765	542229	540593	615228	705559	630068	568085
sp|Q00899|TYY1_MOUSE	499828	614036	537714	495644	545176	515847	631654	769271	573896	478126	478126	585261	834621	495715	654012	601335	479787	573896	550003	573984	654145	530187	569047	571253	577844	564635	573896
sp|Q9D3U0|PUS10_MOUSE	568788	564494	579006	588357	485103	453395	509088	631383	552034	499394	585164	531250	546919	526474	613232	561775	574380	552034	469487	561925	505924	584561	552586	465117	625865	670905	552034
sp|Q60855|RIPK1_MOUSE	603440	319174	611424	370165	373918	462294	748343	812017	532444	592904	447704	597152	507775	415785	598866	658287	454744	532444	561328	375278	597839	440436	410026	571590	707867	676026	532444
sp|A6H584|CO6A5_MOUSE	455979	517221	421919	592858	549070	574197	486307	409239	503116	436551	515429	449195	654391	321685	660079	465618	592556	503116	351216	550180	368848	560869	607041	781486	358822	305980	503116
sp|P01898|HA10_MOUSE	524034	484929	609588	559341	468565	548931	683244	573984	553268	550075	584349	623076	570057	470900	433316	565476	624193	553268	488130	521016	522968	611173	476209	549431	688133	594111	553268
sp|Q8JZM7|CDC73_MOUSE	571315	539161	597525	496422	514691	533917	587697	724273	568492	627929	489830	658046	515670	522974	600359	631622	499426	568492	577122	490758	570987	537233	494353	564393	678366	706116	568492
sp|Q9WUL7|ARL3_MOUSE	588018	528230	564074	491850	558113	571728	564785	621601	559632	570823	594228	595010	542241	525640	602963	520256	552523	559632	627429	482247	566580	467166	622098	624168	557435	550531	559632
sp|P11531|DMD_MOUSE	534181	692305	565655	627915	492865	489129	371856	580379	546700	516912	621530	552455	672302	450113	519616	381189	680179	546700	649753	478617	643162	490336	600884	732665	360349	368858	546700
sp|Q05117|PPA5_MOUSE	395331	495397	397794	562076	563249	573891	809444	643706	553283	473070	494163	495231	579876	563859	553441	685576	535992	553283	422732	574271	428972	675535	626889	670324	544779	401337	553283
sp|P55292|DSC2_MOUSE	401288	454838	458171	505585	492198	489869	645159	730056	521723	483776	457694	525166	497497	485392	549822	646551	518926	521723	427490	376782	453559	451652	618865	508183	701423	687807	521723
sp|P27808|MGAT1_MOUSE	489116	493992	560055	564691	433004	473321	606224	788752	549815	532630	556906	612972	632704	390790	481949	600447	596463	549815	475925	510428	541706	601969	407394	494186	664435	789918	549815
sp|Q9QYE6|GOGA5_MOUSE	553055	504590	517366	527800	460656	705020	693459	675339	568550	577724	451488	511930	585910	428213	802366	779507	471580	568550	598660	478434	517088	557016	394523	750597	680055	598421	568550
sp|Q78HU3|MB12A_MOUSE	602561	464085	538102	460929	598774	574100	468068	594224	539540	571072	470779	558179	470246	547713	632351	635762	440758	539540	620196	449884	545565	475593	544394	632953	530808	532421	539540
sp|Q9QYC0|ADDA_MOUSE	492008	484026	547773	546290	579792	493347	531011	600907	541586	502792	492587	575095	616968	489486	491682	613354	535021	541586	464293	469298	554330	583713	511551	563679	608131	594117	541586
sp|Q91YD9|WASL_MOUSE	544114	521321	559306	571572	535925	554698	568551	573517	553287	548741	527869	566329	560461	522874	578505	578690	556199	553287	526865	500490	577744	578483	562877	583619	582994	522297	553287
sp|Q91WK0|LRRF2_MOUSE	585791	501700	563221	570298	486638	677213	590086	576599	562925	558754	513723	544759	577741	486838	693063	599150	552772	562925	553036	611100	524514	556508	513807	580272	578790	571707	562925
sp|Q9DCG9|TR112_MOUSE	519200	495705	516383	484093	461712	542494	627894	586594	526727	539167	460222	556964	462125	442122	613918	652116	478348	526727	502320	501479	469541	467419	458649	579083	618076	719171	526727
sp|Q8K2M0|RM38_MOUSE	573640	497438	437213	509602	527761	613591	603335	657654	546213	628467	549311	472939	451357	488166	641876	603696	571260	546213	580242	452261	476908	449325	572572	555251	632073	704763	546213
sp|Q9DBR0|AKAP8_MOUSE	593215	567280	636749	535289	517765	522210	574171	583760	565556	579779	564175	633840	601834	498654	540261	585862	524129	565556	569867	526573	581771	569173	487317	592309	636238	570513	565556
tr|Q7TNL5|Q7TNL5_MOUSE	517999	580949	490837	565992	626833	653231	529698	587848	567594	533537	580421	514957	627652	567465	629746	528482	579065	567594	496900	559079	505788	584774	607192	660522	556801	555364	567594
sp|Q9WUK4|RFC2_MOUSE	484314	504956	512679	481607	524694	588778	639044	714686	551155	486933	532869	432598	599509	574991	656109	594691	539222	551155	448904	527401	486665	484413	563852	586866	653909	701822	551155
sp|Q8C547|HTR5B_MOUSE	467884	598574	486527	536209	556919	539105	610335	658650	555329	519676	506121	507659	518617	612235	611851	630364	518533	555329	482189	580633	501689	525282	601007	564455	555902	664193	555329
