Accession	CC017_M_1	CC017_F_1	CC004_M_1	CC004_F_1	CC001_M_1	CC001_F_1	CC003_M_1	CC003_F_1	Pool_1	CC017_M_2	CC017_F_2	CC004_M_2	CC004_F_2	CC001_M_2	CC001_F_2	CC003_M_2	CC003_F_2	Pool_2	CC017_M_3	CC017_F_3	CC004_M_3	CC004_F_3	CC001_M_3	CC001_F_3	CC003_M_3	CC003_F_3	Pool_3
sp|Q8CGC7|SYEP_MOUSE	17790526	13570661	15418458	13604467	16279860	18221927	17027965	19515056	16323976	19047599	13220787	17927690	14159493	17010062	17993262	17669186	12969538	16323976	18777659	12768570	15970091	12957803	16520879	18436134	18265632	18025804	16323976
sp|Q91ZX7|LRP1_MOUSE	15778751	16605092	15623182	15383432	13086584	17005073	17657735	19057847	16060047	15578190	15742738	16310442	15333464	15339716	17566326	17102995	15617605	16060047	17053698	15185231	15867203	15975533	14916998	18275963	16300430	14609359	16060047
sp|P15105|GLNA_MOUSE	16795893	11471279	15772616	15652092	21695760	21393822	8313742	15161181	15981613	16275906	14926811	17606895	18227818	16006471	21483730	9897224	14544332	15981613	12659327	16059245	15866779	15205082	26123866	19817489	10005522	8087532	15981613
sp|P61358|RL27_MOUSE	17017329	16656169	14760499	15219090	14202789	16181994	17717922	18219477	16136660	16765945	15542546	16126565	15664434	14149778	17621421	18813756	14688742	16136660	15918504	15673778	14168194	14356810	14573626	16335263	20377670	18378482	16136660
sp|Q6ZQ38|CAND1_MOUSE	15792507	14528306	16213212	14711394	16590402	16746897	17202115	17521396	16150100	16277825	14081038	16831553	15417460	16310068	17259769	18433590	14075544	16150100	15672635	15605805	15801795	15017586	17113183	17216020	16786285	15553794	16150100
sp|Q71RI9|KAT3_MOUSE	12676253	10803715	21088776	21318163	14618235	11645776	7106928	15947481	14851347	9526096	22494683	14992306	16084776	16394429	9535161	8771989	20813547	14851347	10016765	9321320	19860331	19683180	17462240	12086659	16929954	13018873	14851347
sp|Q60932|VDAC1_MOUSE	17046726	16144438	17502936	16796911	15582787	16060897	14107270	14574450	16044294	16195880	15367013	17050978	19023304	14907053	14785810	14504134	16292261	16044294	17207884	14977029	17081138	17035828	14516636	16225544	15942914	14593240	16044294
sp|P31786|ACBP_MOUSE	14721487	13031464	15189264	14332971	18879256	17644436	17135114	12839418	15608392	9892099	13942207	18258619	14633833	19343337	16449123	14921833	14556660	15608392	13923726	14038974	14438306	13914207	17400818	18986908	16769574	14043326	15608392
sp|Q62261|SPTB2_MOUSE	14701720	15614665	15862852	16154089	16050629	15465772	16572206	17241630	16006725	14966720	15870020	16328099	15992857	14556796	16717783	17002283	16549243	16006725	14489456	14815384	16254760	16274560	16492000	17093202	16201692	16482732	16006725
sp|Q8QZR3|EST2A_MOUSE	18961146	13475394	12926418	13243623	14895916	18195083	21659570	16394592	15927844	22223051	12657180	12315927	15789282	16348607	18565313	19057781	12176761	15927844	20145167	17754838	12524969	13956698	12514662	16442444	18261641	16523033	15927844
sp|Q8CHR6|DPYD_MOUSE	18773402	17457229	19463758	20195080	13538439	12307311	12147310	11538812	15851192	18925748	18361406	17680971	15977082	14529694	12369001	11486776	18073503	15851192	20213832	16301680	18724754	18523917	16093934	13766979	10714258	10905739	15851192
sp|P47963|RL13_MOUSE	15178275	17533946	13140129	14385521	13163034	15849475	18843533	19049297	15712608	16723272	12792675	14091969	14386566	14876214	18171985	19977707	14466276	15712608	16166523	15071634	14070491	13892885	13960924	15710257	18640395	19411864	15712608
sp|Q91WN4|KMO_MOUSE	16871810	18323003	17035787	19828997	15171780	17544299	11702873	8839914	15628881	15956229	14901245	17570691	16267977	16550853	14613867	10879637	17763714	15628881	18987335	17393106	15840978	17487065	17522413	16900983	9991259	8093395	15628881
